 ,Total Compensation, Total Expenses, Total Contributions, Totals
ASSOC STUDENTS OF WA ST UNIVERSITY VANCOUVER, 0.00, 0.00, 0.00, 0.00
ASSOC STUDENTS OF WESTERN WA UNIVERSITY, 0.00, 0.00, 0.00, 0.00
ASSOCIATED BUILDERS & CONTRACTORS (WESTERN WA CHAPTER), 0.00, 0.00, 0.00, 0.00
ASSOCIATED BUILDERS & CONTRACTORS--INLAND PACIFIC CHAPTER, 0.00, 0.00, 0.00, 0.00
ASSOCIATED GENERAL CONTRACTORS OF WA, 0.00, 0.00, 0.00, 0.00
ASSOCIATED INDUSTRIES, 0.00, 0.00, 0.00, 0.00
ASSOCIATED STUDENT GOV OF BELLEVUE COLLEGE, 1608.00, 0.00, 0.00, 1608.00
ASSOCIATED STUDENTS OF THE UNIVERSITY OF WA BOTHELL, 0.00, 0.00, 0.00, 0.00
ASSOCIATED STUDENTS OF UNIVERSITY OF WA TACOMA, 0.00, 0.00, 0.00, 0.00
ASTELLAS PHARMA US INC, 0.00, 0.00, 0.00, 0.00
ASTRAZENECA PHARMACEUTICALS LP, 0.00, 0.00, 0.00, 0.00
AT&T SERVICES INC, 0.00, 0.00, 0.00, 0.00
AUTOLOTTO INC (THRU MULTI STATE), 0.00, 0.00, 0.00, 0.00
AVALON HEALTH CARE INC, 0.00, 0.00, 0.00, 0.00
AVIATION TECHNICAL SERVICES INC, 0.00, 0.00, 0.00, 0.00
AVISTA CORP, 0.00, 0.00, 5100.00, 5100.00
BACK COUNTRY HORSEMAN OF WA, 0.00, 0.00, 0.00, 0.00
BALDWIN CHESTER, 0.00, 0.00, 0.00, 0.00
BANK OF AMERICA CORP, 0.00, 0.00, 0.00, 0.00
BASEBALL CLUB OF SEATTLE (SEATTLE MARINERS), 0.00, 0.00, 0.00, 0.00
BASIN DISPOSAL INC, 0.00, 0.00, 0.00, 0.00
BATTELLE, 0.00, 0.00, 0.00, 0.00
BAYER CORPORATION, 0.00, 0.00, 0.00, 0.00
BD LAWSON PARTNERS LC, 0.00, 0.00, 0.00, 0.00
BEHIND THE BADGE FOUNDATION, 0.00, 0.00, 0.00, 0.00
BENTON PUD, 0.00, 0.00, 0.00, 0.00
BENTON RURAL ELECTRIC ASSN, 0.00, 0.00, 0.00, 0.00
BERENDT & ASSOC LLC*, 0.00, 0.00, 0.00, 0.00
BETHEL SCHOOL DISTRICT, 0.00, 0.00, 0.00, 0.00
BIO ENERGY WA / INDUSTRIAL POWER GENERATING CO, 0.00, 0.00, 0.00, 0.00
BIOGEN, 0.00, 0.00, 0.00, 0.00
BIOTECHNOLOGY INNOVATION ORGANIZATION, 0.00, 0.00, 0.00, 0.00
BLACK ALLIANCE OF THURSTON CO, 0.00, 0.00, 0.00, 0.00
BLDG OWNERS & MANAGERS ASSN OF KING CO, 0.00, 0.00, 0.00, 0.00
BLEEDING DISORDER FOUNDATION OF WA, 0.00, 0.00, 0.00, 0.00
BLOODWORKS NW, 0.00, 0.00, 0.00, 0.00
BLUE STAR GAS, 0.00, 0.00, 0.00, 0.00
BOEHRINGER INGELHEIM PHARMACEUTICALS INC, 0.00, 0.00, 0.00, 0.00
BOEING, 0.00, 0.00, 0.00, 0.00
BOEING EMPLOYEES CREDIT UNION, 0.00, 0.00, 0.00, 0.00
BOGARD & JOHNSON LLC*, 0.00, 0.00, 0.00, 0.00
BOISE CASCADE LLC, 0.00, 0.00, 0.00, 0.00
BOSWELL CONSULTING*, 0.00, 0.00, 0.00, 0.00
BP AMERICA INC, 0.00, 0.00, 0.00, 0.00
BRANDT INFORMATION SERVICES, 0.00, 0.00, 0.00, 0.00
BREMERTON HISTORIC SHIPS ASSN, 0.00, 0.00, 0.00, 0.00
BRENNAN CENTER FOR JUSTICE, 0.00, 0.00, 0.00, 0.00
BRISTOL-MYERS SQUIBB CO, 0.00, 0.00, 0.00, 0.00
BROADBAND COMMUNICATIONS ASSN OF WA, 0.00, 0.00, 0.00, 0.00
BROADCAST MUSIC INC, 0.00, 0.00, 0.00, 0.00
BROTHERHOOD OF LOCOMOTIVE ENGINEERS WA ST LEG BOARD, 0.00, 0.00, 0.00, 0.00
BROWN MARK O, 0.00, 0.00, 0.00, 0.00
BUCHHOLZ & ASSOC LLC*, 0.00, 0.00, 0.00, 0.00
BUCHHOLZ FARMS, 0.00, 0.00, 0.00, 0.00
BUILDING CHANGES, 0.00, 0.00, 0.00, 0.00
BUILDING INDUSTRY ASSN OF WA, 0.00, 0.00, 0.00, 0.00
BURLINGTON NORTHERN SANTA FE RAILROAD, 0.00, 0.00, 0.00, 0.00
CADMAN INC, 0.00, 0.00, 0.00, 0.00
CAL PORTLAND COMPANY, 0.00, 0.00, 0.00, 0.00
CALTEX PROTECTIVE COATINGS, 0.00, 0.00, 0.00, 0.00
CAMPAIGN FOR TOBACCO FREE KIDS, 0.00, 0.00, 0.00, 0.00
CAMPION ADVOCACY FUND, 0.00, 0.00, 0.00, 0.00
CANNABIS ALLIANCE, 0.00, 0.00, 0.00, 0.00
CANNABIS ORGANIZATION OF RETAIL ESTABLISHMENTS, 0.00, 0.00, 0.00, 0.00
CANNABIS RETAILERS FOR SMART REGULATION, 0.00, 0.00, 0.00, 0.00
CAPITAL BENEFIT SERVICES, 0.00, 0.00, 0.00, 0.00
CAPITAL MEDICAL CENTER, 0.00, 0.00, 0.00, 0.00
CAPITOL CONNECTION*, 0.00, 0.00, 0.00, 0.00
CAPITOL SOLUTIONS*, 0.00, 0.00, 0.00, 0.00
CAPITOL STRATEGIES CONSULTING*, 0.00, 0.00, 0.00, 0.00
CARBON WA, 0.00, 0.00, 0.00, 0.00
CARING FOR WASHINGTON, 0.00, 0.00, 0.00, 0.00
CARMAX AUTO SUPERSTORES INC, 0.00, 0.00, 0.00, 0.00
CARNEY BADLEY SPELLMAN*, 0.00, 0.00, 0.00, 0.00
CARRUTHERS CATHERINE A, 0.00, 0.00, 0.00, 0.00
CASCADE BICYCLE CLUB, 0.00, 0.00, 0.00, 0.00
CASCADE GOVT AFFAIRS LLC*, 0.00, 0.00, 0.00, 0.00
CASCADE NATURAL GAS, 0.00, 0.00, 0.00, 0.00
CASCADE UNISERV COUNCIL, 0.00, 0.00, 0.00, 0.00
CASCADE WATER ALLIANCE, 0.00, 0.00, 0.00, 0.00
CASH AMERICA, 0.00, 0.00, 0.00, 0.00
CATHOLIC COMMUNITY SERVICES, 0.00, 0.00, 0.00, 0.00
CATTLE PRODUCERS OF WA, 0.00, 0.00, 0.00, 0.00
CEDAR RIVER CLINICS, 0.00, 0.00, 0.00, 0.00
CENTER FOR CHILDREN & YOUTH JUSTICE, 0.00, 0.00, 0.00, 0.00
CENTER FOR DIAGNOSTIC IMAGING, 0.00, 0.00, 0.00, 0.00
CENTER FOR ENVIRONMENTAL LAW & POLICY, 0.00, 0.00, 0.00, 0.00
CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY / SOUND TRANSIT, 0.00, 0.00, 0.00, 0.00
CENTRAL WA GRAIN GROWERS INC, 0.00, 0.00, 0.00, 0.00
CENTRAL WA UNIVERSITY, 0.00, 0.00, 0.00, 0.00
CENTURYLINK, 0.00, 0.00, 0.00, 0.00
CERTIFIED ELECTRICAL WORKERS OF WA, 0.00, 0.00, 0.00, 0.00
CGI TECHNOLOGIES & SOLUTIONS INC, 0.00, 0.00, 0.00, 0.00
CHECK INTO CASH (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
CHECKER CAB OF SEA-TAC CORP, 0.00, 0.00, 0.00, 0.00
CHECKERBOARD CONSULTING SERVICES LLC*, 0.00, 0.00, 0.00, 0.00
CHEHALIS CONFEDERATED TRIBES, 0.00, 0.00, 0.00, 0.00
CHELAN CO PUBLIC UTILITY DIST #1, 0.00, 0.00, 0.00, 0.00
CHEVRON USA INC, 0.00, 0.00, 0.00, 0.00
CHILDHAVEN, 0.00, 0.00, 0.00, 0.00
CHILDRENS ALLIANCE, 0.00, 0.00, 0.00, 0.00
CHILDRENS HEALTH IS A LEGAL DUTY (CHILD) INC, 0.00, 0.00, 0.00, 0.00
CHILDRENS HOME SOCIETY OF WA, 0.00, 0.00, 0.00, 0.00
CHRISTIAN SCIENCE COMM ON PUBLICATION, 0.00, 0.00, 0.00, 0.00
CHRISTOPHERSEN INC*, 0.00, 0.00, 0.00, 0.00
CHSPSC LLC, 0.00, 0.00, 0.00, 0.00
CHUBB NORTH AMERICA, 0.00, 0.00, 0.00, 0.00
CIGAR ASSN OF AMERICA, 0.00, 0.00, 0.00, 0.00
CIGNA HEALTHCARE, 0.00, 0.00, 0.00, 0.00
CIOX HEALTH LLC (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
CISCO SYSTEMS INC (THRU ELLI ABDOLI DESIGNATED AGENT FOR FILER, 0.00, 0.00, 0.00, 0.00
CIT ALLIANCE FOR PROPERTY RIGHTS, 0.00, 0.00, 0.00, 0.00
CIT FOR PARKS & RECREATION, 0.00, 0.00, 0.00, 0.00
CITIES INSURANCE ASSN OF WA, 0.00, 0.00, 0.00, 0.00
CITIGROUP, 0.00, 0.00, 0.00, 0.00
CITY OF ALGONA, 0.00, 0.00, 0.00, 0.00
CITY OF ARLINGTON, 0.00, 0.00, 0.00, 0.00
CITY OF BELLEVUE, 0.00, 0.00, 0.00, 0.00
CITY OF BELLINGHAM, 0.00, 0.00, 0.00, 0.00
CITY OF BURIEN, 0.00, 0.00, 0.00, 0.00
CITY OF CENTRALIA, 0.00, 0.00, 0.00, 0.00
CITY OF CHENEY, 0.00, 0.00, 0.00, 0.00
CITY OF COLLEGE PLACE, 0.00, 0.00, 0.00, 0.00
CITY OF COVINGTON, 0.00, 0.00, 0.00, 0.00
CITY OF EDMONDS, 0.00, 0.00, 0.00, 0.00
CITY OF EVERETT, 0.00, 0.00, 0.00, 0.00
CITY OF FEDERAL WAY, 0.00, 0.00, 0.00, 0.00
CITY OF FIFE, 0.00, 0.00, 0.00, 0.00
CITY OF GIG HARBOR, 0.00, 0.00, 0.00, 0.00
CITY OF GRANITE FALLS, 0.00, 0.00, 0.00, 0.00
CITY OF ISSAQUAH, 0.00, 0.00, 0.00, 0.00
CITY OF KELSO, 0.00, 0.00, 0.00, 0.00
CITY OF KENMORE, 0.00, 0.00, 0.00, 0.00
CITY OF KENNEWICK, 0.00, 0.00, 0.00, 0.00
CITY OF KENT, 0.00, 0.00, 0.00, 0.00
CITY OF KIRKLAND, 0.00, 0.00, 0.00, 0.00
CITY OF LACEY, 0.00, 0.00, 0.00, 0.00
CITY OF LAKE FOREST PARK, 0.00, 0.00, 0.00, 0.00
CITY OF LAKE STEVENS, 0.00, 0.00, 0.00, 0.00
CITY OF LAKEWOOD, 0.00, 0.00, 0.00, 0.00
CITY OF LONGVIEW, 0.00, 0.00, 0.00, 0.00
CITY OF LYNDEN, 0.00, 0.00, 0.00, 0.00
CITY OF MAPLE VALLEY, 0.00, 0.00, 0.00, 0.00
CITY OF MARYSVILLE, 0.00, 0.00, 0.00, 0.00
CITY OF MONROE, 0.00, 0.00, 0.00, 0.00
CITY OF MOUNTLAKE TERRACE, 0.00, 0.00, 0.00, 0.00
CITY OF OMAK, 0.00, 0.00, 0.00, 0.00
CITY OF PASCO, 0.00, 0.00, 0.00, 0.00
CITY OF PORT ORCHARD, 0.00, 0.00, 0.00, 0.00
CITY OF PUYALLUP, 0.00, 0.00, 0.00, 0.00
CITY OF QUINCY, 0.00, 0.00, 0.00, 0.00
CITY OF REDMOND, 0.00, 0.00, 0.00, 0.00
CITY OF RENTON, 0.00, 0.00, 0.00, 0.00
CITY OF RICHLAND, 0.00, 0.00, 0.00, 0.00
CITY OF RIDGEFIELD, 0.00, 0.00, 0.00, 0.00
CITY OF ROSLYN, 0.00, 0.00, 0.00, 0.00
CITY OF SEATAC, 0.00, 0.00, 0.00, 0.00
CITY OF SEATTLE, 0.00, 0.00, 0.00, 0.00
CITY OF SHORELINE, 0.00, 0.00, 0.00, 0.00
CITY OF SPOKANE, 0.00, 0.00, 0.00, 0.00
CITY OF SPOKANE VALLEY, 0.00, 0.00, 0.00, 0.00
CITY OF STANWOOD, 0.00, 0.00, 0.00, 0.00
CITY OF SUMNER, 0.00, 0.00, 0.00, 0.00
CITY OF TACOMA, 0.00, 0.00, 0.00, 0.00
CITY OF VANCOUVER, 0.00, 0.00, 0.00, 0.00
CITY OF WALLA WALLA, 0.00, 0.00, 0.00, 0.00
CITY OF YAKIMA, 0.00, 0.00, 0.00, 0.00
CITY OF YELM, 0.00, 0.00, 0.00, 0.00
CIVIC GROUP*, 0.00, 0.00, 0.00, 0.00
CLARK CO HIGH TECHNOLOGY & COMMUNITY COUNCIL (HTC), 0.00, 0.00, 0.00, 0.00
CLARK COUNTY, 0.00, 0.00, 0.00, 0.00
CLARK PUBLIC UTILITIES, 0.00, 0.00, 0.00, 0.00
CLEAN ENERGY, 0.00, 0.00, 0.00, 0.00
CLEANTECH ALLIANCE WA, 0.00, 0.00, 0.00, 0.00
CLIFFORD TRAISMAN & ASSOC*, 0.00, 0.00, 0.00, 0.00
CLIMATE SOLUTIONS, 0.00, 0.00, 0.00, 0.00
CLIPPER NAVIGATION, 0.00, 0.00, 0.00, 0.00
CNSI, 0.00, 0.00, 0.00, 0.00
COALITION FOR CANNABIS STANDARDS & ETHICS, 0.00, 0.00, 0.00, 0.00
COALITION OF COASTAL FISHERIES, 0.00, 0.00, 0.00, 0.00
COASTAL CONSERVATION ASSN WA, 0.00, 0.00, 0.00, 0.00
COLLEGE SUCCESS FOUNDATION, 0.00, 0.00, 0.00, 0.00
COLUMBIA BASIN DEVELOPMENT LEAGUE, 0.00, 0.00, 0.00, 0.00
COLUMBIA BASIN RAILROAD(CBR)/CENTRAL WA RAILROAD (CWR), 0.00, 0.00, 0.00, 0.00
COLUMBIA LEGAL SERVICES, 0.00, 0.00, 0.00, 0.00
COLUMBIA RIVER PILOTS, 0.00, 0.00, 0.00, 0.00
COLUMBIA RIVER STEAMSHIP OPERATORS ASSN, 0.00, 0.00, 0.00, 0.00
COLUMBIA RURAL ELECTRIC ASSN, 0.00, 0.00, 0.00, 0.00
COLUMBIA SNAKE RIVER IRRIGATORS ASSN, 0.00, 0.00, 0.00, 0.00
COLVILLE CONFEDERATED TRIBES, 0.00, 0.00, 0.00, 0.00
COMCAST CABLE COMMUNICATIONS, 0.00, 0.00, 0.00, 0.00
COMMITTEE FOR CHILDREN, 0.00, 0.00, 0.00, 0.00
COMMUNICO*, 0.00, 0.00, 0.00, 0.00
COMMUNITIES IN SCHOOLS OF WA, 0.00, 0.00, 0.00, 0.00
COMMUNITY ASSOC INSTITUTE, 0.00, 0.00, 0.00, 0.00
COMMUNITY BANKERS OF WA, 0.00, 0.00, 0.00, 0.00
COMMUNITY EMPLOYMENT ALLIANCE, 0.00, 0.00, 0.00, 0.00
COMMUNITY HEALTH NETWORK OF WA, 0.00, 0.00, 0.00, 0.00
COMMUNITY RESIDENTIAL SERVICES ASSN, 0.00, 0.00, 0.00, 0.00
COMP TIA, 0.00, 0.00, 0.00, 0.00
COMPASS HEALTH, 0.00, 0.00, 0.00, 0.00
COMPASSION & CHOICES, 0.00, 0.00, 0.00, 0.00
CONFEDERATED TRIBES & BANDS OF THE YAKAMA NATION, 0.00, 0.00, 0.00, 0.00
CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION, 0.00, 0.00, 0.00, 0.00
CONSERVATION CAMPAIGN, 0.00, 0.00, 0.00, 0.00
CONSOLIDATED BOOKKEEPING & MANAGEMENT SERVICES INC, 0.00, 0.00, 0.00, 0.00
CONSTRUCTION MATERIAL RECYCLING ASSN - NW CHAPTER, 0.00, 0.00, 0.00, 0.00
CONSUMER DATA INDUSTRY ASSN, 0.00, 0.00, 0.00, 0.00
CONSUMER FIREWORKS SAFETY ASSN, 0.00, 0.00, 0.00, 0.00
CONSUMER HEALTHCARE PRODUCTS ASSN, 0.00, 0.00, 0.00, 0.00
CONSUMER SPECIALITY PRODUCTS ASSN, 0.00, 0.00, 0.00, 0.00
CONSUMER TECHNOLOGY ASSN (THROUGH MULTISTATE), 0.00, 0.00, 0.00, 0.00
CONSUMERS UNION OF U S INC, 0.00, 0.00, 0.00, 0.00
CONSUMERS UNION OF US INC DBA CONSUMER REPORTS, 0.00, 0.00, 0.00, 0.00
CONTINENTAL CASUALTY CO, 0.00, 0.00, 0.00, 0.00
COOPERATIVE AGRICULTURAL PRODUCERS INC, 0.00, 0.00, 0.00, 0.00
COORDINATED CARE, 0.00, 0.00, 0.00, 0.00
COPSYNC INC, 0.00, 0.00, 0.00, 0.00
CORRECTIONS CORP OF AMERICA, 0.00, 0.00, 0.00, 0.00
COSTCO WHOLESALE, 0.00, 0.00, 0.00, 0.00
COUNCIL FOR A STRONG AMERICA, 0.00, 0.00, 0.00, 0.00
COUNCIL OF METROPOLITAN POLICE & SHERIFFS, 0.00, 0.00, 0.00, 0.00
COWLITZ PUD, 0.00, 0.00, 0.00, 0.00
COYNE JESERNIG LLC*, 0.00, 0.00, 0.00, 0.00
CRAFT3, 0.00, 0.00, 0.00, 0.00
C-TRAN, 0.00, 0.00, 0.00, 0.00
CULTURAL ACCESS WA, 0.00, 0.00, 0.00, 0.00
CVS HEALTH, 0.00, 0.00, 0.00, 0.00
D MICHENER & CO INC*, 0.00, 0.00, 0.00, 0.00
DA VITA HEALTHCARE PARTNERS, 0.00, 0.00, 0.00, 0.00
DADS DIVORCED BY THEIR WIVES, 0.00, 0.00, 0.00, 0.00
DART CONTAINER CORP (THROUGH MULTISTATE), 0.00, 0.00, 0.00, 0.00
DAYBREAK YOUTH SERVICES, 0.00, 0.00, 0.00, 0.00
DB3, 0.00, 0.00, 0.00, 0.00
DEALERS AUTO AUCTION NORTHWEST, 0.00, 0.00, 0.00, 0.00
DEERE & CO (THRU MULTISTATES), 0.00, 0.00, 0.00, 0.00
DELOITTE CONSULTING LLP / ERMINJA MAGANJA, 0.00, 0.00, 0.00, 0.00
