Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HI 732","f","Carbon pollution tax","H Finance","","1/22/2016","People of the State of Washington"
"HI 735","","Corporate & money influence","H Rules R","","2/5/2016","People of the State of Washington"
"HB 1000","f","DFW land, water rights","H Gen Govt & Info","","2/12/2015","Blake"
"HB 1001","","Funding education first","H Approps","","1/12/2015","MacEwen"
"HB 1002","f","Dental insurance practices","H subst for","","3/2/2015","DeBolt"
"EHB 1003","af","Schools, disaster recovery","C 37 L 16","","3/29/2016","Hawkins"
"HB 1004","f","Alcohol tasting by students","C 59 L 15","","4/23/2015","Springer"
"HB 1005","","Health care info release","H HC/Wellness","","1/11/2016","Cody"
"HB 1006","","Wage violations, damages for","H Rules C","","3/13/2015","Sawyer"
"HB 1007","#","Traffic safety cameras","H Trans","","1/11/2016","Fey"
"HB 1008","f","Agency data practices audits","H Gen Govt & Info","","1/11/2016","Smith"
"HB 1009","f#","Rural amphitheater surcharge","H Rules C","","3/13/2015","Manweller"
"HB 1010","","Occupational therapists","H subst for","","2/9/2015","Johnson"
"HB 1011","","Climate zones, counties in","C 11 L 15","","4/17/2015","Short"
"HB 1012","","Manuf/mobile home landlords","H Judiciary","","1/12/2015","Appleton"
"HB 1013","a","County legislative meetings","C 179 L 15","","5/7/2015","Appleton"
"HB 1014","","Antifreeze products","H Rules 3C","","4/24/2015","Appleton"
"HB 1015","f","Driving-related convictions","H Public Safety","","1/12/2015","Appleton"
"HB 1016","","Legal financial obligations","H Public Safety","","1/12/2015","Appleton"
"HB 1017","f","Misdemeanor convictions","H Public Safety","","1/12/2015","Appleton"
"HB 1018","","Breed-based dog regulations","H Rules R","","2/5/2016","Appleton"
"HB 1019","f","Housing orgs/qual award prog","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1020","","Cannabis, medical use of","H Commerce & Gami","","1/12/2015","Appleton"
"HB 1021","f","Silver alert system","H subst for","","3/6/2015","Appleton"
"HB 1022","f","Bail bond agreements","C 73 L 16","","3/31/2016","Appleton"
"HB 1023","f#","One candidate primaries","H State Governme","","1/12/2015","Appleton"
"HB 1024","f#","Controlled substance/penalty","H Public Safety","","1/12/2015","Appleton"
"HB 1025","f","WA health security trust","H HC/Wellness","","1/12/2015","Appleton"
"HB 1026","f#","Write-in voting","H State Governme","","1/12/2015","Appleton"
"HB 1027","","Dental health aides & tribes","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1028","#","Court security","H Judiciary","","1/12/2015","Appleton"
"HB 1029","","Warrant officers' authority","H Judiciary","","1/12/2015","Appleton"
"HB 1030","f","Advance higher ed loan progr","H Approps","","2/12/2015","Johnson"
"HB 1031","","College in the high school","H subst for","","3/2/2015","Johnson"
"HB 1032","f","Habitat projects","H Rules 3C","","4/24/2015","Blake"
"HB 1033","f","Hunting, private land access","H Ag & Nat Res","","1/12/2015","Blake"
"HB 1034","","Surname changes when married","H Rules R","","1/19/2016","Moeller"
"HB 1035","","Guardian ad litem pers. info","H State Governme","","1/12/2015","Moeller"
"HB 1036","f","Domestic partnerships & PERS","H Rules X","","1/28/2016","Moeller"
"HB 1037","f#","Child support","H subst for","","3/6/2015","Moeller"
"HB 1038","f","Apprenticeship utilization","H Finance","","2/12/2015","Moeller"
"HB 1039","f#","Voting, signature stamp for","H Rules R","","1/27/2015","Hunt, S."
"HB 1040","","Subversive activities","H Judiciary","","1/12/2015","Fitzgibbon"
"HB 1041","","Marijuana misdemeanors","H Public Safety","","1/12/2015","Fitzgibbon"
"HB 1042","f","Phys therapy & dry needling","H HC/Wellness","","1/11/2016","Cody"
"HB 1043","","Self-service storage","H subst for","","2/11/2015","Ryu"
"HB 1044","f","Minority & women's business","H Approps","","1/21/2015","Santos"
"HB 1045","f","East Asian medicine","H subst for","","2/9/2015","Tharinger"
"HB 1046","","East Asian med practitioners","H HC/Wellness","","1/12/2015","Tharinger"
"HB 1047","fd","Continuity of operations","C 61 L 15","","4/23/2015","Goodman"
"HB 1048","fo#","Residential mortgage lending","H subst for","","2/11/2015","Kirby"
"HB 1049","f","Cadmium/children's jewelry","H Environment","","1/12/2015","Fitzgibbon"
"HB 1050","","Annual leave payments","H State Governme","","1/12/2015","Hunt, S."
"HB 1051","","Supreme court elections","H Judiciary","","1/12/2015","DeBolt"
"HB 1052","","Military spouses/higher ed","H subst for","","3/2/2015","Hayes"
"HB 1053","","Health, dental, vision plans","H subst for","","2/11/2015","Kirby"
"HB 1054","","Collection agency fees","H Rules R","","2/6/2015","Stanford"
"HB 1055","fd","Conforming amendments/govt","H Gen Govt & Info","","1/11/2016","Bergquist"
"HB 1056","f#","Public land and water bodies","H State Governme","","1/12/2015","Haler"
"HB 1057","f#","Mopeds","H Trans","","1/12/2015","Haler"
"HB 1058","","Lobbyists, electronic filing","H State Governme","","1/12/2015","Moeller"
"HB 1059","afd#","Sexually violent predators","C 278 L 15","","5/18/2015","Fagan"
"HB 1060","f#","Litter tax revenues","H subst for","","3/3/2015","Fitzgibbon"
"HB 1061","fo#","District judges, Skagit Cnty","C 25 L 15 E3","","7/6/2015","Hayes"
"HB 1062","fo","Credit union enforcement/DFI","H Bus & Fin Svcs","","1/11/2016","Stanford"
"HB 1063","f","Cosmetology, hair design etc","H subst for","","2/11/2015","Kirby"
"HB 1064","f","Locksmith services","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1065","fo","Insurer holding company act","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1066","fo","Longterm care insurance/IROs","H HC/Wellness","","1/12/2015","Tharinger"
"HB 1067","fd","Medicaid false claims","H subst for","","6/24/2015","Jinkins"
"HB 1068","","Sexual assault exam kits","H subst for","","3/2/2015","Orwall"
"HB 1069","f#","DNA work product, preserving","H subst for","","2/19/2015","Orwall"
"HB 1070","","Int. commercial arbitration","H subst for","","2/12/2015","Goodman"
"HB 1071","o","Form year designations","H Judiciary","","1/11/2016","Goodman"
"HB 1072","f","Prevailing wage surveys","H Labor","","1/12/2015","Manweller"
"HB 1073","f","Prevailing rate of wage","H Labor","","1/12/2015","Manweller"
"HB 1074","f","Prevailing wage survey data","H Labor","","1/12/2015","Manweller"
"HB 1075","f","Prevailing wages, paying of","H Labor","","1/12/2015","Manweller"
"HB 1076","fo","Life insurance reserve req's","H Gen Govt & Info","","1/21/2015","Kirby"
"HB 1077","fo","Reinsurance, credit for","C 63 L 15","","4/23/2015","Kirby"
"HB 1078","fd","Consumer financial info","H subst for","","3/4/2015","Hudgins"
"HB 1079","","Joint utilization contracts","H State Governmen","","1/11/2016","Kochmar"
"HB 1080","f","Health professional program","H Approps","","1/12/2015","Harris"
"HB 1081","","College in the high school","H Education","","1/12/2015","Sullivan"
"HB 1082","","DNA sample/ranked felonies","H Public Safety","","1/12/2015","Hurst"
"HB 1083","","Gifts to state officers, etc","H State Governmen","","1/12/2015","Hurst"
"HB 1084","","Land use applications/notice","H Local Govt","","1/12/2015","Pollet"
"HB 1085","f","Lobbyists, electronic filing","H subst for","","3/5/2015","Moeller"
"HB 1086","f","Public record commercial use","H Approps","","2/19/2015","Moeller"
"EHB 1087","f#","Traffic safety cameras","H Trans","","1/11/2016","Takko"
"HB 1088","","Flood contr zone supervisors","H subst for","","2/11/2015","Takko"
"HB 1089","fd","Responsible bidder criteria","H subst for","","2/16/2015","Hunt, S."
"HB 1090","fd#","Finan. fraud, identity theft","C 65 L 15","","4/23/2015","Kirby"
"EHB 1091","afd","Ticket sales over internet","C 129 L 15","","4/28/2015","Van De Wege"
"HB 1092","fd","Patent infringement claims","H Judiciary","","1/11/2016","Jinkins"
"HB 1093","f#","Unmanned aircraft","H subst for","","3/4/2015","Morris"
"HB 1094","f","Biometric identifiers","H subst for","","3/4/2015","Morris"
"HB 1095","f#","Thermal energy efficiency","H subst for","","3/5/2015","Morris"
"HB 1096","","Electric distribution system","H Tech &  Econ D","","1/12/2015","Morris"
"HB 1097","f","Renewable energy/job growth","H Tech &  Econ D","","1/12/2015","Morris"
"HB 1098","f","Electric utility regulation","H Tech &  Econ D","","1/12/2015","Morris"
"HB 1099","","Contracts over the internet","H Judiciary","","1/12/2015","Morris"
"HB 1100","f","Appliance efficiency","H subst for","","2/12/2015","Morris"
"HB 1101","","Conservation districts","H Local Govt","","1/12/2015","Wilcox"
"HB 1102","f#","Sewer system in right-of-way","H Local Govt","","1/12/2015","Takko"
"HB 1103","f","Prescription drug monitoring","H subst for","","2/9/2015","Jinkins"
"HB 1104","f#","Interference w/ag production","H Public Safety","","1/12/2015","Schmick"
"HB 1105","fe","Operating sup budget 2015","H subst for","","1/29/2015","Hunter"
"HB 1106","fe","Operating budget 2015-2017","H subst for","","4/2/2015","Hunter"
"HB 1107","f#","Cultural & heritage programs","H Finance","","1/11/2016","Springer"
"HB 1108","f","Food truck beer-wine license","H Commerce & Gam","","1/12/2015","Reykdal"
"HB 1109","f","OSPI certif'd employees/TRS","H subst for","","3/2/2015","Reykdal"
"HB 1110","","Shared parent responsibility","H Judiciary","","1/12/2015","Reykdal"
"HB 1111","o","Court transcripts","H subst for","","2/17/2016","Kilduff"
"HB 1112","f","Gold star license plates","H Trans","","1/11/2016","Appleton"
"HB 1113","","Solemnizing marriages","H Rules 3C","","4/24/2015","Appleton"
"HB 1114","f","Internet poker","H Commerce & Gam","","1/12/2015","Appleton"
"2EHB 1115","e","Capital budget 2015, 2015-17","C 3 L 15 E3","PV","6/30/2015","Dunshee"
"HB 1116","e","Capital sup budget 2015","H Cap Budget","","1/13/2015","Dunshee"
"HB 1117","fd","Veterans' scoring criteria","H State Governme","","1/13/2015","Klippert"
"HB 1118","f","Fish & wildlife cost savings","H subst for","","3/10/2015","Blake"
"HB 1119","f","Hunter safety & minimum ages","H Ag & Nat Res","","1/13/2015","Blake"
"HB 1120","","School bus driver immunity","H Judiciary","","1/11/2016","Wilcox"
"HB 1121","f","Financial education prtnrshp","H subst for","","3/2/2015","Parker"
"HB 1122","f#","Dispatch operators","H Labor","","1/13/2015","Sells"
"EHB 1123","","Single-family res. dwellings","H Rules X","","2/26/2016","Blake"
"HB 1124","a","Beer and wine sampling","C 180 L 15","","5/7/2015","Takko"
"HB 1125","f","Econ recovery from wildfires","H Comm Dev, Hous","","1/14/2015","Hawkins"
"HB 1126","f","Fatality reviews by DEL","H subst for","","3/4/2015","Kagi"
"HB 1127","f","Ag labor skills and safety","H subst for","","3/6/2015","Chandler"
"HB 1128","f#","DNA sample/ranked felonies","H Public Safety","","1/14/2015","Hurst"
"HB 1129","","Civil legal aid, office of","H Judiciary","","1/11/2016","Goodman"
"HB 1130","fd#","Water power license fees","H subst for","","2/16/2016","Fey"
"HB 1131","f","Ivory and rhinoceros horns","H Gen Govt & Info","","2/5/2015","Pettigrew"
"HB 1132","f","Adult family homes","H subst for","","3/4/2015","Tharinger"
"HB 1133","f#","Public utility tax, counties","H Local Govt","","1/14/2015","Tharinger"
"HB 1134","fd","Certif counselors & advisors","H HC/Wellness","","1/11/2016","Moeller"
"HB 1135","fd","Health profession rem. plans","H subst for","","3/9/2015","Cody"
"HB 1136","fd","Employmnt after govt service","H State Governmen","","1/11/2016","Carlyle"
"HB 1137","f","Geologists & well operators","H Ag & Nat Res","","1/14/2015","Short"
"HB 1138","f","Higher ed mental health","H subst for","","3/2/2015","Orwall"
"HB 1139","f","Human trafficking of youth","H Rules X","","1/28/2016","Orwall"
"HB 1140","f","Psychiatric consultation/HCA","H Approps","","2/19/2015","Orwall"
"HB 1141","#","Regional jails, standards","H Public Safety","","1/14/2015","Goodman"
"HB 1142","f","Parking fees/H.S. students","H Education","","1/11/2016","Wilcox"
"HB 1143","","Voted ballot/by fax or email","H State Governmen","","1/11/2016","Hunt, S."
"HB 1144","f#","Voter registration","H State Governme","","1/14/2015","Hunt, S."
"HB 1145","","Cnty legislative authorities","H subst for","","2/11/2015","Haler"
"HB 1146","f","Higher ed fiscal matters","H Approps","","1/14/2015","Haler"
"HB 1147","f","Higher ed admissions study","H Approps","","2/16/2015","Haler"
"HB 1148","f#","Multiple-offense sentencing","H subst for","","2/19/2015","Goodman"
"HB 1149","f","Students/military families","H subst for","","3/2/2015","Muri"
"HB 1150","f","Child abuse/military parents","H Erly Lrn/H Svc","","1/11/2016","Muri"
"HB 1151","f","Caregiver respite services","H Approps","","2/19/2015","Moeller"
"HB 1152","f","Forage fish management","H Approps","","1/11/2016","Fitzgibbon"
"HB 1153","f#","Native lumber grading","H Local Govt","","1/14/2015","Blake"
"HB 1154","f","Affordable college grant pr.","H Approps","","2/20/2015","Bergquist"
"HB 1155","f","Senior citizens, property tx","H Finance","","1/14/2015","Pike"
"HB 1156","","Industr. insurance/jobs act","H Labor","","1/14/2015","Pike"
"HB 1157","f#","Quick title service fees","H subst for","","2/19/2015","Pike"
"HB 1158","f#","Growth mgmt/sup court review","H Local Govt","","1/14/2015","Pike"
"HB 1159","f","Teen driving safety","H subst for","","3/6/2015","Pike"
"HB 1160","f#","Litter penalties/park funds","H Gen Govt & Info","","2/4/2015","Pike"
"HB 1161","f","Senior citizens, property tx","H Finance","","1/14/2015","Moeller"
"HB 1162","f","Mineral prospecting","H Ag & Nat Res","","1/14/2015","Tarleton"
"HB 1163","f","Paid vacation leave","H Labor","","1/14/2015","Tarleton"
"HB 1164","f","Student nutrition/grant prog","H Rules R","","2/13/2015","Riccelli"
"HB 1165","","Marijuana local jurisd. fund","H Commerce & Gam","","1/14/2015","Condotta"
"HB 1166","fe","State gen oblig bonds, accts","H subst for","","4/2/2015","Dunshee"
"HB 1167","","Palliative care coverage","H HC/Wellness","","1/14/2015","Harris"
"HB 1168","fo","Retiree return-to-work/PERS","C 75 L 15","","4/24/2015","Ormsby"
"HB 1169","fo","Life annuity benefit/WSPRS","H Approps","","1/11/2016","Ormsby"
"HB 1170","f#","Port districts admin. powers","H subst for","","3/5/2015","Clibborn"
"HB 1171","f","Real estate brokers","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1172","fo","Insurer risk mgmt, solvency","C 17 L 15","","4/17/2015","Stanford"
"HB 1173","","Physician noncompete agrmnts","H HC/Wellness","","1/14/2015","Carlyle"
"HB 1174","f","Flame retardants","H subst for","","3/5/2015","Van De Wege"
"HB 1175","f#","Campaign contribution source","H Rules C","","3/13/2015","Van De Wege"
"HB 1176","","Pawnbroker fees, int. rates","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1177","","Service contracts regulation","H Rules R","","2/3/2015","Kirby"
"HB 1178","f#","Assault in third degree","H subst for","","3/6/2015","Moscoso"
"HB 1179","f","Cider makers/wine c. assmnt","C 76 L 15","","4/24/2015","Lytton"
"HB 1180","f#","High-capacity trans service","H Finance","","2/5/2015","Fey"
"HB 1181","","Asbestos abating/respirators","H Labor","","1/15/2015","Taylor"
"HB 1182","fd","Geological hazard assessment","H Ag & Nat Res","","1/11/2016","Hurst"
"HB 1183","f","Radiology benefit managers","H subst for","","3/9/2015","Harris"
"HB 1184","f","UW health sci lib/LMFT assoc","H subst for","","2/9/2015","Cody"
"HB 1185","","Funds/out-of-state deposit","H Bus & Fin Svcs","","1/15/2015","Kirby"
"HB 1186","f#","Patients, observation status","H subst for","","3/9/2015","Clibborn"
"EHB 1187","f#","Water banking best practices","H Rules X","","2/2/2016","Chandler"
"HB 1188","","Annual leave payments","H Approps","","2/2/2015","Hunt, S."
"HB 1189","","City, district publ. records","H Rules 3C","","4/24/2015","Hunt, S."
"HB 1190","f","Optometrists/hydrocodone use","H subst for","","2/9/2015","Harris"
"HB 1191","f","Concealed pistol license","H Approps","","2/9/2015","Taylor"
"HB 1192","f","Federal land transfer","H Cap Budget","","1/15/2015","Taylor"
"HB 1193","","Legal firearms, owners of","H Judiciary","","1/15/2015","Taylor"
"HB 1194","fo","Death benefits/LEOFF, WSPRS","H subst for","","3/4/2015","Kirby"
"HB 1195","f","Tow truck operators","H Labor & Workpla","","1/11/2016","Rodne"
"HB 1196","f","Real estate appraisers","H Rules X","","3/4/2015","Hunt, G."
"HB 1197","","Water-sewer districts","H Local Govt","","1/11/2016","Takko"
"HB 1198","f","Beer, cider/grocery stores","H Gen Govt & Info","","2/19/2015","Vick"
"HB 1199","f","Species status/F&W comm.","H Ag & Nat Res","","1/15/2015","Short"
"HB 1200","f","Fish and wildlife policies","H State Governme","","1/15/2015","Scott"
"HB 1201","","Administrative rules","H State Governme","","1/15/2015","Scott"
"HB 1202","","Ecology administrative rules","H State Governme","","1/15/2015","Scott"
"HB 1203","","Adminstrative rules & policy","H State Governme","","1/15/2015","Scott"
"HB 1204","f","Ecology policies enforcement","H State Governme","","1/15/2015","Scott"
"HB 1205","f","Nongovernment parties/claims","H Judiciary","","1/15/2015","Shea"
"HB 1206","","Admin action/judicial review","H Judiciary","","1/15/2015","Shea"
"HB 1207","","Law interpretation, judicial","H Judiciary","","1/15/2015","Shea"
"HB 1208","f","Adjudicative proceedings","H Judiciary","","1/15/2015","Scott"
"HB 1209","","Jnt. admin rules review comm","H State Governme","","1/15/2015","Scott"
"HB 1210","f#","Poll-site voting & voting ID","H State Governme","","1/15/2015","Hunt, G."
"HB 1211","f","Wage payment/fees and costs","H subst for","","3/11/2015","Hunt, G."
"HB 1212","f","ID info of retail customers","H Bus & Fin Svcs","","1/11/2016","Hunt, G."
"HB 1213","#","County veterans assist. fund","H subst for","","2/17/2016","Orwall"
"HB 1214","","Ag lands/shoreline mgmt act","H Local Govt","","1/15/2015","Scott"
"HB 1215","f#","Ag land conversion/GMA","H Local Govt","","1/15/2015","Scott"
"HB 1216","","Ag land conversion/GMA, SMA","H Local Govt","","1/15/2015","Scott"
"HB 1217","","Capitol furnishings pres com","H State Governmen","","1/11/2016","Moeller"
"HB 1218","f","Nontoll transp. projects","H Trans","","1/11/2016","Zeiger"
"HB 1219","f","State bridges","C 10 L 15 E3","","7/6/2015","Zeiger"
"HB 1220","f","Ag crop protection products","H Finance","","1/21/2015","Blake"
"HB 1221","f#","Passenger-only ferry distr's","H Trans","","1/11/2016","Hansen"
"HB 1222","f#","Firefighting apparatus","C 16 L 15","","4/17/2015","McBride"
"HB 1223","","Lodging tx/workforce housing","H subst for","","3/5/2015","Springer"
"HB 1224","f","Wolf recovery, rate of","H Ag & Nat Res","","1/15/2015","Kretz"
"HB 1225","","Species status/F&W comm.","H Ag & Nat Res","","1/15/2015","Kretz"
"HB 1226","f#","Domestic violence assault","H Rules C","","3/13/2015","Goodman"
"HB 1227","f","Working WA spec. lic. plates","H Trans","","1/15/2015","Sells"
"HB 1228","f","Ballot measure fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1229","","Initiatives, fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1230","f#","Interest arbitration","H Approps","","1/11/2016","Sells"
"HB 1231","f","Prevailing rate of wage","H Rules 3C","","3/10/2016","Ormsby"
"HB 1232","","Fishing guide licenses","C 103 L 15","","4/25/2015","Chandler"
"HB 1233","","Groundwater for domestic use","H Ag & Nat Res","","1/15/2015","Chandler"
"HB 1234","fd#","Building permit fees","H Rules R","","2/27/2015","Senn"
"HB 1235","d","Procurement law","H State Governmen","","1/11/2016","Holy"
"HB 1236","f","College bound scholarship","H subst for","","3/4/2015","Ortiz-Self"
"HB 1237","","Landowners and forest fires","H Ag & Nat Res","","1/15/2015","Kretz"
"HB 1238","f","Affordable tuition planning","H subst for","","3/5/2015","Pollet"
"HB 1239","f","Tax exemption accountability","H Finance","","1/15/2015","Pollet"
"HB 1240","f","Student restraint, isolation","H subst for","","3/2/2015","Pollet"
"HB 1241","f","Hiring veterans B&O credit","H Finance","","2/5/2015","Muri"
"HB 1242","","Educational employee strikes","H Labor","","1/15/2015","Muri"
"HB 1243","f#","Truancy of students","H Judiciary","","1/15/2015","Muri"
"HB 1244","f#","Motorcycle helmets","H Trans","","1/16/2015","Shea"
"HB 1245","","Gun sale background checks","H Judiciary","","1/16/2015","Shea"
"HB 1246","","Foreign laws","H Judiciary","","1/16/2015","Shea"
"HB 1247","","Human decapitation","H Judiciary","","1/16/2015","Shea"
"HB 1248","","Court proceedings","H subst for","","2/19/2015","Shea"
"HB 1249","f","Nonprofit risk pools","H Bus & Fin Svcs","","1/11/2016","Clibborn"
"HB 1250","fd","Notice and review processes","H Rules X","","2/26/2016","Holy"
"HB 1251","f#","Emergency med services levy","H Finance","","1/16/2015","Van De Wege"
"HB 1252","f#","Massage therapy, reflexology","H subst for","","3/2/2015","Wylie"
"HB 1253","f","Workplace injury reporting","H Labor","","1/16/2015","Manweller"
"HB 1254","f","Prevailing wages/pilot prjct","H Labor","","1/16/2015","Manweller"
"HB 1255","fo","Minority & women's business","H Approps","","2/12/2015","Tarleton"
"HB 1256","f","Derelict vessel prevention","H Ag & Nat Res","","1/16/2015","Tharinger"
"HB 1257","","Tenant screening reports","H subst for","","3/5/2015","Walkinshaw"
"EHB 1258","f#","Detention decision review","H Judiciary","","1/11/2016","Walkinshaw"
"HB 1259","","ARNPs/signing documentation","C 104 L 15","","4/25/2015","Cody"
"HB 1260","f","Child support credit","H Judiciary","","1/11/2016","Kilduff"
"HB 1261","","Tribal hunters/enforcement","H Comm Dev, Hous","","1/16/2015","Sawyer"
"HB 1262","","Fed. govt owning land in WA","H Cap Budget","","1/16/2015","Blake"
"HB 1263","","CPAs/priv. investigator regs","C 105 L 15","","4/25/2015","Stokesbary"
"HB 1264","f#","Conservation district rates","H Local Govt","","1/16/2015","Wilcox"
"HB 1265","f","Local revital. finan. proj's","H Tech &  Econ De","","1/11/2016","Fey"
"HB 1266","","Irrigation distrct elections","H State Governme","","1/16/2015","Buys"
"HB 1267","","Irrigation/water right chngs","H Rules R","","2/12/2015","Buys"
"HB 1268","f","Hemp in animal feed","C 106 L 15","","4/25/2015","Buys"
"HB 1269","f","Dairy inspection program","H Gen Govt & Info","","2/12/2015","Buys"
"HB 1270","f","Salmon hatchery management","H Gen Govt & Info","","2/20/2015","Buys"
"HB 1271","f","Rock collecting, state lands","H Ag & Nat Res","","1/16/2015","Buys"
"HB 1272","f#","Intimate images/distributing","H subst for","","3/6/2015","Buys"
"HB 1273","f#","Family & medical leave insur","H Approps","","2/6/2015","Robinson"
"HB 1274","f","Nursing home payment rates","H subst for","","6/24/2015","Cody"
"HB 1275","f","Osteopath med & surgery brd","H Rules R","","2/3/2015","Cody"
"HB 1276","","Impaired driving","H subst for","","3/6/2015","Klippert"
"HB 1277","","Military member lodging","C 36 L 15","","4/21/2015","Klippert"
"HB 1278","f","Building energy use","H Rules X","","2/26/2016","Fitzgibbon"
"HB 1279","f#","Local tourism promo. areas","C 131 L 15","","4/28/2015","Kochmar"
"HB 1280","","Commission, Indian services","H Comm Dev, Hous","","1/16/2015","Sawyer"
"HB 1281","f#","Sexual exploitation of minor","H subst for","","3/4/2015","Sawyer"
"HB 1282","f#","Driving w/license suspended","C 149 L 15","","5/1/2015","Zeiger"
"HB 1283","","Debt adjusting/nonprofit org","H subst for","","3/10/2015","Parker"
"HB 1284","f","Railroad employee work hours","H Rules X","","2/26/2016","Haler"
"HB 1285","f#","Newborn heart disease","H subst for","","3/2/2015","Riccelli"
"HB 1286","f","Long-term care funding study","H Approps","","2/17/2015","Tharinger"
"HB 1287","f#","Involuntary treatment","H Approps","","2/9/2015","Orwall"
"HB 1288","f","Involuntary treatment study","H Judiciary","","1/16/2015","Orwall"
"HB 1289","f","State energy code, adoption","H Tech &  Econ D","","1/16/2015","Buys"
"HB 1290","f","Winery tasting rooms","H subst for","","2/16/2016","Condotta"
"HB 1291","","Residential fire sprinklers","H Labor","","1/16/2015","Buys"
"HB 1292","","Water facility fee immunity","H Judiciary","","1/16/2015","Young"
"HB 1293","f","Paraeducators","H Education","","1/16/2015","Bergquist"
"HB 1294","f#","Youth voter registration","H Rules 3C","","3/10/2016","Bergquist"
"HB 1295","f","Breakfast after the bell","H subst for","","3/4/2015","Hudgins"
"HB 1296","f","Cigar lounges & tobacconists","H HC/Wellness","","2/2/2015","Vick"
"HB 1297","e","Trans sup budget 2013-2015","H Trans","","1/16/2015","Clibborn"
"HB 1298","e","Transportation projcts/bonds","H Trans","","1/11/2016","Clibborn"
"HB 1299","e","Trans budget 2015-2017","H subst for","","4/9/2015","Clibborn"
"HB 1300","fe#","Transportation revenue","H Trans","","1/16/2015","Clibborn"
"HB 1301","","Fantasy sports contests","H Commerce & Gam","","1/16/2015","Pettigrew"
"HB 1302","","Child abduction statutes","C 38 L 15","","4/21/2015","Haler"
"HB 1303","f","Degree production incentive","H Hi Ed","","1/16/2015","Haler"
"HB 1304","f","Public funds/recip. deposits","H Rules 3C","","4/24/2015","Kirby"
"HB 1305","f#","Therapeutic courts","H Judiciary","","1/19/2015","Walkinshaw"
"HB 1306","f#","Aquatic land mgmt for marina","H Environment","","1/19/2015","Hayes"
"HB 1307","fd","Residen'l services & support","C 39 L 15","","4/21/2015","Harris"
"HB 1308","","Surplus lines of insurance","C 132 L 15","","4/29/2015","Vick"
"HB 1309","f","Floating home/sale by broker","C 133 L 15","","4/29/2015","Vick"
"HB 1310","fd","NFPA, bldg code council/stds","H Local Govt","","1/11/2016","Takko"
"HB 1311","fd","Missing children/advisry brd","H Rules X","","3/4/2015","Hunt, S."
"HB 1312","f#","Bail forfeiture exoneration","H Rules R","","2/2/2016","Goodman"
"HB 1313","","Fire protection budgets","H subst for","","3/2/2015","Zeiger"
"HB 1314","fe","Carbon pollution market prog","H Approps","","2/12/2015","Fitzgibbon"
"HB 1315","f","Plumbing & electrical trades","H Labor","","1/19/2015","Manweller"
"HB 1316","","Arrest without warrant","H subst for","","3/2/2015","Stambaugh"
"HB 1317","","Sewer charges, collecting","C 41 L 15","","4/21/2015","Zeiger"
"HB 1318","","Deficit reimbursemnt/ferries","H Trans","","1/19/2015","Fey"
"HB 1319","fd#","Offenses prior to 18 yrs old","H subst for","","3/6/2015","Goodman"
"HB 1320","fd","Identicard/incarc'd offender","H subst for","","3/10/2015","Goodman"
"HB 1321","","Health coverage/WA residents","H Rules R","","2/5/2016","Robinson"
"HB 1322","f","State retirement plans","H Rules 3C","","3/10/2016","Reykdal"
"HB 1323","f","Advisory votes, repealing","H Rules R","","2/20/2015","Reykdal"
"HB 1324","","Protecting persons, property","H Judiciary","","1/19/2015","Shea"
"HB 1325","","Agencies/greenhouse gases","H Environment","","1/19/2015","Shea"
"HB 1326","","Public art works/trans funds","H Trans","","1/19/2015","Shea"
"HB 1327","","Subpoenas/empl security dept","H Judiciary","","1/19/2015","Nealey"
"HB 1328","","District court civil jurisd.","H Judiciary","","1/19/2015","Goodman"
"HB 1329","f","Insurance/electronic delivry","H Bus & Fin Svcs","","1/11/2016","Stanford"
"HB 1330","","Elude police vehicle/attempt","H Public Safety","","1/19/2015","Kochmar"
"HB 1331","f","School library & tech progs","H Education","","1/11/2016","Muri"
"HB 1332","f#","Traffic safety cameras","H Trans","","1/19/2015","Condotta"
"HB 1333","f#","Delinquent property taxes","H Finance","","1/19/2015","Condotta"
"HB 1334","","Rec. marijuana, sales taxes","H Commerce & Gami","","1/19/2015","Condotta"
"HB 1335","","Rec. marijuana businesses","H Commerce & Gam","","1/19/2015","Condotta"
"HB 1336","fd","Security guard backgrnd chks","H Rules R","","1/29/2016","Kirby"
"HB 1337","f#","Public port district levies","H subst for","","3/10/2015","Takko"
"HB 1338","","Municipal waters, diversion","H Ag & Nat Res","","1/19/2015","Buys"
"HB 1339","f","Scope of practice/healthcare","H Rules 3C","","4/24/2015","Cody"
"HB 1340","f","Health care professionals","H Approps","","2/10/2015","Cody"
"HB 1341","fd","Fishing guide/unlawfully","H Ag & Nat Res","","1/11/2016","Tharinger"
"HB 1342","f","Cider, microbrewery sale of","C 42 L 15","","4/21/2015","Bergquist"
"HB 1343","f","Spirits retailers/for resale","H Finance","","1/29/2015","Springer"
