,Lawmaker,Office Held,Specific Party,General Party,Position
,"FRAME, NOEL CHRISTINA",HOUSE DISTRICT 036,DEMOCRATIC,DEMOCRATIC,MEMBER
,"TARLETON, GAEL",HOUSE DISTRICT 036,DEMOCRATIC,DEMOCRATIC,MEMBER
,"PETTIGREW, ERIC",HOUSE DISTRICT 037,DEMOCRATIC,DEMOCRATIC,MEMBER
,"SANTOS, SHARON TOMIKO",HOUSE DISTRICT 037,DEMOCRATIC,DEMOCRATIC,MEMBER
,"ROBINSON, JUNE GRUBE",HOUSE DISTRICT 038,DEMOCRATIC,DEMOCRATIC,MEMBER
,"SELLS, MICHAEL S",HOUSE DISTRICT 038,DEMOCRATIC,DEMOCRATIC,MEMBER
,"KRISTIANSEN, DANIEL",HOUSE DISTRICT 039,REPUBLICAN,REPUBLICAN,MINORITY LEADER
,"SCOTT, MICHAEL",HOUSE DISTRICT 039,REPUBLICAN,REPUBLICAN,MEMBER
,"MORRIS, JEFFREY R (JEFF)",HOUSE DISTRICT 040,DEMOCRATIC,DEMOCRATIC,MEMBER
,"LYTTON, KRISTINE",HOUSE DISTRICT 040,DEMOCRATIC,DEMOCRATIC,MEMBER
,"CLIBBORN, JUDITH R (JUDY)",HOUSE DISTRICT 041,DEMOCRATIC,DEMOCRATIC,MEMBER
,"SENN, TANA",HOUSE DISTRICT 041,DEMOCRATIC,DEMOCRATIC,MEMBER
,"VAN WERVEN, LUANNE",HOUSE DISTRICT 042,REPUBLICAN,REPUBLICAN,MEMBER
,"BUYS, VINCENT K",HOUSE DISTRICT 042,REPUBLICAN,REPUBLICAN,MEMBER
,"WALKINSHAW, BRADY",HOUSE DISTRICT 043,DEMOCRATIC,DEMOCRATIC,MEMBER
,"CHOPP JR, FRANK V",HOUSE DISTRICT 043,DEMOCRATIC,DEMOCRATIC,HOUSE SPEAKER
,"HARMSWORTH, MARK",HOUSE DISTRICT 044,REPUBLICAN,REPUBLICAN,MEMBER
,"DUNSHEE, HANS M",HOUSE DISTRICT 044,DEMOCRATIC,DEMOCRATIC,MEMBER
,"SPRINGER, LAWRENCE STANLEY",HOUSE DISTRICT 045,DEMOCRATIC,DEMOCRATIC,MEMBER
,"GOODMAN, ROGER E",HOUSE DISTRICT 045,DEMOCRATIC,DEMOCRATIC,MEMBER
,"POLLET, GERALD M (GERRY)",HOUSE DISTRICT 046,DEMOCRATIC,DEMOCRATIC,MEMBER
,"FARRELL, JESSYN S",HOUSE DISTRICT 046,DEMOCRATIC,DEMOCRATIC,MEMBER
,"HARGROVE, MARK D",HOUSE DISTRICT 047,REPUBLICAN,REPUBLICAN,MEMBER
,"SULLIVAN, PATRICK J (PAT)",HOUSE DISTRICT 047,DEMOCRATIC,DEMOCRATIC,MAJORITY LEADER
,"KUDERER, PATTY",HOUSE DISTRICT 048,DEMOCRATIC,DEMOCRATIC,MEMBER
,"MCBRIDE, JOAN LESLIE",HOUSE DISTRICT 048,DEMOCRATIC,DEMOCRATIC,MEMBER
,"MOELLER, JAMES C (JIM)",HOUSE DISTRICT 049,DEMOCRATIC,DEMOCRATIC,MEMBER
,"WYLIE, SHARON L",HOUSE DISTRICT 049,DEMOCRATIC,DEMOCRATIC,MEMBER
,"MCAULIFFE, ROSEMARY A",SENATE DISTRICT 001,DEMOCRATIC,DEMOCRATIC,MEMBER
,"BECKER, RANDI L",SENATE DISTRICT 002,REPUBLICAN,REPUBLICAN,MEMBER
,"BILLIG, ANDREW S",SENATE DISTRICT 003,DEMOCRATIC,DEMOCRATIC,MEMBER
