Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 2421","","Greenhouse emissions/federal","H Environment","","1/13/2016","Pike"
"HB 2422","fd","WA fish license plates","H Trans","","1/13/2016","Tarleton"
"HB 2446","","Fish & wildlife work groups","H Rules R","","2/5/2016","Rossetti"
"ESHB 2450","f","Critical access hospitals","C 31 L 16 E1","","4/18/2016","Tharinger"
"HB 2455","f","Incremental electricity","H Tech &  Econ D","","1/13/2016","Morris"
"HB 2468","","GMA/rail dependent uses","H Local Govt","","1/13/2016","Pike"
"HB 2476","","180-day school year waivers","C 99 L 16","","3/31/2016","Johnson"
"EHB 2478","af","Pollinator forage preserv.","C 44 L 16","","3/29/2016","Peterson"
"SHB 2480","","Natural res agencies/fed gov","H Rules R","","2/4/2016","Blake"
"HB 2481","","Short-barreled rifles","H Judiciary","","1/13/2016","Blake"
"HB 2482","","Drug-free zones","H Public Safety","","1/13/2016","Blake"
"SHB 2500","","Impounded livestock","H Rules 3C","","3/10/2016","Caldier"
"HB 2507","f","Offender assault victims","H Rules 3C","","3/10/2016","Klippert"
"SHB 2509","d","Wildlife and recreation prg.","H Rules R","","2/5/2016","Tharinger"
"HB 2514","f","Hunter ed/NRA spec lic plate","H Trans","","1/14/2016","Griffey"
"HB 2526","f","State resident qualification","H Rules 3C","","3/10/2016","McCaslin"
"HB 2529","","Recreational pass penalties","H Approps","","1/14/2016","Blake"
"2SHB 2530","af#","Victims of sex crimes","C 173 L 16","","4/1/2016","Orwall"
"HB 2568","","Capitol lake/estuarine env.","H State Governme","","1/15/2016","Blake"
"HB 2571","","Farm property/auctioneers","H Finance","","1/15/2016","Dent"
"HB 2572","","Agricultural aircraft parts","H Finance","","1/15/2016","Dent"
"HB 2577","","Spirits & wine pref. pricing","H Commerce & Gami","","1/15/2016","Wylie"
"SHB 2584","f","Marijuana info. disclosure","C 178 L 16","","4/1/2016","Vick"
"HB 2588","f#","Vapor products","H Commerce & Gam","","1/15/2016","Reykdal"
"SHB 2596","f#","Local wildland fire supress.","H Approps","","2/5/2016","Dye"
"HB 2605","f","Beer tasting event permit","C 129 L 16","","3/31/2016","Kirby"
"HB 2611","f","Ag. vehicle weight limits","H Trans","","1/15/2016","Dye"
"SHB 2616","","Watershed management actions","H Rules X","","2/26/2016","Buys"
"HB 2629","f#","Marijuana possession & trans","H Commerce & Gam","","1/18/2016","Blake"
"HB 2633","fd","Fruit & vegetable inspection","H Rules X","","2/26/2016","Blake"
"HB 2634","fd","Dairy farm nutrient uses","C 101 L 16","","3/31/2016","Buys"
"HB 2635","fd","Seed act arbitration","H Ag & Nat Res","","1/18/2016","Buys"
"HB 2636","fd","Secondary fish receivers","H Rules R","","2/4/2016","Walkinshaw"
"SHB 2644","a","Animal forfeiture","C 181 L 16","","4/1/2016","Blake"
"HB 2676","","Building code exemptions","H Judiciary","","1/18/2016","Blake"
"HB 2693","f","Marijuana lounge endorsement","H Commerce & Gam","","1/18/2016","Blake"
"SHB 2695","f","Historic public rec. access","H Rules R","","2/9/2016","Blake"
"HB 2696","f","Mairjuana plant sale/medical","H Commerce & Gam","","1/18/2016","Blake"
"SHB 2715","f","Coal electricity conversion","H Finance","","2/5/2016","Blake"
"HB 2724","","Transit auth. board members","H Trans","","1/19/2016","Harmsworth"
"HB 2751","","Pesticide exposure","H HC/Wellness","","1/20/2016","Dent"
"E2SHB 2793","af#","Suicide education","C 90 L 16","PV","3/31/2016","Orwall"
"SHB 2802","","Cannabis producer services","H Rules X","","2/26/2016","Wylie"
"HB 2814","","Areas for shooting/GMA","H Local Govt","","1/21/2016","Klippert"
"HB 2840","f","Water discharge permits","H Ag & Nat Res","","1/22/2016","Pettigrew"
"SHB 2857","f","Sustainable wood materials","H Finance","","2/4/2016","Blake"
"HB 2863","f","Drinking water supply projs.","H Rules X","","2/26/2016","McCabe"
"SHB 2904","","Issuer payment acceptance","H Rules R","","2/5/2016","Blake"
"HB 2924","f","Wildland firefighters/GPS","H Ag & Nat Res","","1/27/2016","Dent"
"ESHB 2925","","Wildland fires/livestock","C 109 L 16","","3/31/2016","Dent"
"ESHB 2928","af","Outdoor burning/forest fires","C 110 L 16","","3/31/2016","Kretz"
"HB 2932","","State building code alts.","H Local Govt","","1/28/2016","Blake"
"HB 2947","f","OSPI elimination/dept of ed","H Gen Govt & Inf","","1/29/2016","Sullivan"
"HB 3004","","Abandoned cemeteries","H State Governmen","","3/3/2016","Orcutt"
"HJM 4002","","Wolf conserv. and mgmt plan","H Ag & Nat Res","","1/28/2015","Kretz"
"HJM 4014","","Salmon & steelhead reintro.","H Ag & Nat Res","","1/28/2016","Stanford"
"HJR 4216","","Eliminating OSPI","H Gen Govt & Inf","","1/29/2016","Sullivan"
"HR 4602","","Daniel J. Evans","H Adopted","","1/13/2015","Zeiger"
"HR 4603","","Dr. Martin Luther King, Jr.","H Adopted","","1/19/2015","Chopp"
"HR 4605","","Dairy day at the legislature","H Adopted","","1/28/2015","Blake"
"HR 4608","","Navy personnel and families","H Adopted","","2/11/2015","Chopp"
"HR 4611","","Children's day","H Adopted","","2/16/2015","Chopp"
"HR 4614","","Presidents day","H Adopted","","2/16/2015","Chopp"
"HR 4626","","Mark Morris HS girls' bsktbl","H Adopted","","3/26/2015","Takko"
"HR 4629","","TVW","H Adopted","","4/1/2015","Hunt, S."
"HR 4630","","Dr. Thomas L. ""Les"" Purce","H Adopted","","4/1/2015","Hunt, S."
"HR 4636","","Aberdeen and Hoquiam","H Adopted","","4/23/2015","Blake"
"HR 4645","","Dr. Elson S Floyd, WSU pres.","H Adopted","","6/25/2015","Chopp"
"HR 4646","","Officer Rick Silva","H Adopted","","6/26/2015","Klippert"
"HR 4649","","Dr. Martin Luther King, Jr.","H Adopted","","1/18/2016","Chopp"
"HR 4650","","Ocosta HS cross country team","H Adopted","","1/28/2016","Rossetti"
"HR 4652","","Washington's National Guard","H Adopted","","2/4/2016","Chopp"
"HR 4661","","Jermaine Kearse Foundation","H Adopted","","2/15/2016","Chopp"
"HR 4662","","Presidents' Day","H Adopted","","2/15/2016","Chopp"
"HR 4670","","United States Navy","H Adopted","","2/25/2016","Chopp"
"HR 4671","","Review Club of Aberdeen","H Adopted","","2/26/2016","Blake"
"HR 4674","","Wildland firefighters","H Adopted","","2/26/2016","Chopp"
"HR 4676","","Stamp Out Hunger food drive","H Adopted","","2/26/2016","Goodman"
