Bill,Flags,Title,Status,Veto,Date,Original Sponsor
SHB 1496,fd,Vocational rehabilitation,C 137 L 15,,4/29/2015,Sells
SHB 1503,a,Medical liens,C 201 L 15,,5/8/2015,Jinkins
SHB 1516,f,Lodging services/tax exem.,C 151 L 15,,5/1/2015,Pettigrew
SHB 1527,a,Pesticide licensees,C 184 L 15,,5/7/2015,Dent
HB 1531,fd,Long-term care workers,C 152 L 15,,5/1/2015,Tharinger
4SHB 1541,af,Educational opportunity gap,C 72 L 16,,3/30/2016,Santos
E2SHB 1546,afd,Dual credit ed opportunities,C 202 L 15,,5/8/2015,Reykdal
HB 1547,d,State treasurers conference,C 45 L 15,,4/21/2015,"Hunt, S."
HB 1550,fd#,Recreation services etc. tax,C 169 L 15,,5/6/2015,Carlyle
2ESHB 1553,f#,Opportunity restoration,C 81 L 16,,3/31/2016,Walkinshaw
HB 1554,,"Children/guardians, family",C 47 L 15,,4/22/2015,Stambaugh
SHB 1559,f,"Higher ed programs/UW, WSU",C 6 L 15,,4/1/2015,Riccelli
SHB 1564,,"Sale of liquor, prohibition",C 153 L 15,,5/1/2015,Kilduff
ESHB 1570,fe,Educator retooling/program,C 9 L 15 E3,,7/6/2015,Gregory
SHB 1575,,Contract retainage bonds,C 280 L 15,,5/18/2015,Buys
EHB 1578,f,Customer satisfaction bnfits,C 121 L 16,,3/31/2016,Kirby
SHB 1586,a,Royal Slope railroad,C 281 L 15,,5/18/2015,Manweller
HB 1595,,Labor hours & apprenticeship,C 48 L 15,,4/22/2015,Senn
HB 1599,afd,Criminally insane/facilities,C 253 L 15,,5/14/2015,Rodne
HB 1601,,Actions by or against county,C 138 L 15,,4/29/2015,Rodne
SHB 1604,,Occup. disease/firefighters,C 139 L 15,,4/29/2015,Reykdal
SHB 1610,,Jury service,C 7 L 15,,4/1/2015,McCaslin
SHB 1617,,Judicial information system,C 140 L 15,,4/29/2015,Rodne
SHB 1619,f,Environmental handling chrgs,C 185 L 15,,5/7/2015,"Hunt, S."
HB 1620,afd,"Biotoxin testing, monitoring",C 254 L 15,,5/14/2015,Tharinger
HB 1622,af,Cottage food operations,C 203 L 15,,5/8/2015,Young
SHB 1625,a,"Ambulances & aid, drugs for",C 255 L 15,,5/14/2015,Schmick
HB 1627,,Unlawful land entry/hunting,C 154 L 15,,5/1/2015,Schmick
EHB 1633,,Housing trust fund projects,C 155 L 15,,5/1/2015,Zeiger
SHB 1636,a,Disability employmnt reports,C 204 L 15,,5/8/2015,MacEwen
HB 1637,f,Tribes/prescrip. monitoring,C 49 L 15,,4/22/2015,Stokesbary
HB 1641,,Shellfish/unlawf trafficking,C 141 L 15,,4/29/2015,Blake
HB 1652,afo,Medicaid managed health care,C 256 L 15,,5/14/2015,Cody
ESHB 1671,a,Opioid overdose medications,C 205 L 15,,5/8/2015,Walkinshaw
HB 1674,fd,"Youthful offenders, reentry",C 156 L 15,,5/1/2015,Pettigrew
3SHB 1682,af,Homeless students,C 157 L 16,,4/1/2016,Fey
ESHB 1695,f#,"Construction aggregate, etc.",C 142 L 15,,4/29/2015,Clibborn
HB 1706,fo,College fees/military member,C 143 L 15,,4/29/2015,Stanford
E3SHB 1713,af#,"Mental hlth, chem dependency",C 29 L 16 E1,,4/18/2016,Cody
HB 1720,f,Healthy housing,C 50 L 15,,4/22/2015,Robinson
SHB 1721,,Ambulance patient transport,C 157 L 15,,5/1/2015,Robinson
E2SHB 1725,fd,DSHS provider payment/hrs/wk,C 30 L 16 E1,,4/18/2016,Cody
SHB 1727,,Nursing assistants,C 158 L 15,,5/1/2015,Schmick
SHB 1730,,"Earnest money, handling of",C 51 L 15,,4/22/2015,Kirby
SHB 1738,,Marine etc. fuel tax refunds,C 9 L 15 E2,,7/9/2015,Orcutt
SHB 1749,,Contractor registration,C 52 L 15,,4/22/2015,MacEwen
EHB 1752,,Chief examiners,C 82 L 16,,3/31/2016,Hawkins
E2SHB 1763,af,Music licensing agencies,C 38 L 16,,3/29/2016,Van De Wege
HB 1779,f,Victim interviews training,C 159 L 15,,5/1/2015,Van De Wege
SHB 1806,,Election statute references,C 53 L 15,,4/22/2015,Van Werven
E2SHB 1807,af,Small business spirits sales,C 186 L 15,,5/7/2015,Condotta
SHB 1813,f,Computer science education,C 3 L 15 E1,,6/10/2015,Hansen
HB 1817,,Wheeled all-terrain vehicles,C 160 L 15,,5/1/2015,Shea
HB 1819,,Political committee acct bks,C 54 L 15,,4/22/2015,Wilson
SHB 1830,f,Wrestling special lic plates,C 15 L 16,,3/25/2016,Muri
ESHB 1842,,Transit agency coordination,C 11 L 15 E3,,7/6/2015,Farrell
ESHB 1844,a,Ferry vessel & terminal work,C 282 L 15,,5/18/2015,Moscoso
SHB 1851,f#,"Bridges, expedited process",C 144 L 15,,4/29/2015,Hayes
SHB 1853,af,Electric vehicle charging,C 220 L 15,,5/11/2015,Magendanz
HB 1858,,Cty auditors & sec of state,C 83 L 16,,3/31/2016,Shea
EHB 1859,d,"RCW statutes/inactive, etc.",C 4 L 15 E1,,6/10/2015,Kilduff
EHB 1868,a,County road fund purposes,C 223 L 15,,5/11/2015,Lytton
SHB 1879,af,Foster children health care,C 283 L 15,,5/18/2015,Kagi
HB 1884,f#,Electric mobility devices,C 145 L 15,,4/29/2015,Vick
EHB 1890,,Paying issuers/second-party,C 284 L 15,,5/18/2015,Schmick
SHB 1896,a,Customer energy use info,C 285 L 15,,5/18/2015,Smith
SHB 1897,,Earth-abundant materials,C 20 L 15 E3,,7/6/2015,Smith
SHB 1898,af#,Child victim testimony,C 286 L 15,,5/18/2015,Ortiz-Self
EHB 1918,af#,"ORV's, etc., & their drivers",C 84 L 16,,3/31/2016,Shea
SHB 1919,,"Special elections, timing of",C 146 L 15,,4/29/2015,"Hunt, S."
HB 1940,af,Flood control zone districts,C 170 L 15,PV,5/6/2015,Stokesbary
EHB 1943,af#,Electronic monitoring,C 287 L 15,,5/18/2015,Shea
HB 1961,fo,Community and tech colleges,C 55 L 15,,4/22/2015,Zeiger
HB 1962,,Process server SSN's,C 56 L 15,,4/22/2015,Griffey
ESHB 1965,fo,Liquor control brd temp. fee,C 26 L 15 E3,,7/6/2015,Hudgins
HB 1977,f,Tuition and fees exemption,C 46 L 15,,4/22/2015,Moscoso
ESHB 1980,a,Sunshine committee rec's,C 224 L 15,PV,5/11/2015,Springer
EHB 1989,a#,Water storage asset mgmt,C 187 L 15,,5/7/2015,Dent
4SHB 1999,f,Foster youth edu outcomes,C 71 L 16,,3/30/2016,Carlyle
HB 2000,af,Marijuana agreemnts w/tribes,C 207 L 15,,5/8/2015,Hurst
HB 2007,f,Emer medical transportation,C 147 L 15,,4/29/2015,Zeiger
ESHB 2012,,"Practical design, DOT use of",C 12 L 15 E3,,7/6/2015,Orcutt
SHB 2017,f,Farmer & rancher lic plates,C 36 L 16,,3/25/2016,Klippert
SHB 2021,,Pr. drug assist. foundation,C 161 L 15,,5/1/2015,Riccelli
HB 2023,f,School employee contracts,C 85 L 16,,3/31/2016,Parker
2SHB 2040,f,Veteran employment,C 57 L 15,,4/22/2015,McCabe
HB 2055,a,Ballot measure statements,C 171 L 15,PV,5/6/2015,Johnson
E2SHB 2061,a,Group B water systems,Gov vetoed,V,4/1/2016,Short
2SHB 2063,f,Better life experience prog,C 162 L 15,,5/1/2015,Kilduff
ESHB 2093,af#,Wildland fire suppression,C 182 L 15,,5/7/2015,Kretz
EHB 2122,f#,"Real estate tx, transactions",C 10 L 15 E2,,7/9/2015,McBride
ESHB 2128,fd,Dept of agriculture fees,C 27 L 15 E3,,7/6/2015,Hudgins
2E2SHB 2136,f#,Marijuana market reforms,C 4 L 15 E2,,6/30/2015,Carlyle
HB 2140,a,Permanency hearing excptions,C 257 L 15,,5/14/2015,Kagi
2EHB 2151,f,Hospital safety net,C 5 L 15 E2,,6/30/2015,Jinkins
ESHB 2160,,Intimate images/distributing,C 8 L 15 E2,,7/9/2015,Wylie
HB 2181,,Highway maximum speed limit,C 58 L 15,PV,4/22/2015,Schmick
EHB 2190,f,Vessel reports of sale,C 148 L 15,,4/29/2015,Harmsworth
HB 2195,f#,Auditor's fees,C 28 L 15 E3,,7/6/2015,Lytton
EHB 2212,f,Hospital certif of need/exem,C 22 L 15 E3,,7/6/2015,Cody
HB 2217,f,Juvenile offender b. t. camp,C 23 L 15 E3,,7/6/2015,Hunter
EHB 2253,,Jnt admin rules review comm,C 11 L 15 E2,,7/9/2015,Hudgins
HB 2262,f,Tennis special licnse plates,C 16 L 16,,3/25/2016,Bergquist
ESHB 2263,,Vulnerable people/services,C 24 L 15 E3,,7/6/2015,Springer
HB 2264,f#,Customer energy use info,C 21 L 15 E3,,7/6/2015,Smith
EHB 2266,,Class size & school staffing,C 38 L 15 E3,,7/14/2015,Sullivan
EHB 2267,,Expenditure limit & basic ed,C 29 L 15 E3,,7/6/2015,Hunter
ESHB 2274,af#,Vehicle reports of sale,C 86 L 16,,3/31/2016,Harmsworth
HB 2280,f#,Felony DUI as class B felony,C 87 L 16,,3/31/2016,Klippert
EHB 2286,,Budget stabilization account,C 2 L 15 E3,,6/30/2015,Hunter
HB 2309,fd#,Water pollution loans/term,C 88 L 16,,3/31/2016,Smith
HB 2317,f#,Electric vehicles/NEVs,C 17 L 16,,3/25/2016,Van De Wege
HB 2320,f,Horse racing comm'n account,C 160 L 16,,4/1/2016,Stokesbary
HB 2322,,Rental car cost recovery fee,C 18 L 16,,3/25/2016,Zeiger
ESHB 2323,f,Better life experience prog.,C 39 L 16,,3/29/2016,Kilduff
HB 2326,f,Independent review orgs.,C 139 L 16,,3/31/2016,Moeller
HB 2332,fo,Health care provider comp.,C 122 L 16,,3/31/2016,Kirby
2SHB 2335,f,Health provider credentials,C 123 L 16,,3/31/2016,Cody
HB 2350,f,Medical assistants/Rx admin.,C 124 L 16,,3/31/2016,Cody
HB 2356,af,Employee personal vehicles,C 125 L 16,,3/31/2016,Kirby
SHB 2357,fo#,Pollution insurance agency,C 161 L 16,,4/1/2016,Peterson
SHB 2359,ao,Obsolete provisions,C 202 L 16,PV,4/1/2016,Goodman
HB 2360,f,Quality education council,C 162 L 16,,4/1/2016,Lytton
EHB 2362,af#,"Recordings/law enf., etc.",C 163 L 16,,4/1/2016,Hansen
HB 2371,f#,Court use of JIS system,C 89 L 16,,3/31/2016,Kuderer
E2SHB 2375,a,Cybercrime,C 164 L 16,,4/1/2016,Magendanz
2ESHB 2376,fd,Operating sup budget 2016,C 36 L 16 E1,PV,4/18/2016,Dunshee
ESHB 2380,d,Supplemental capital budget,C 35 L 16 E1,PV,4/18/2016,Tharinger
HB 2384,f#,Mobile telecom. providers,C 91 L 16,,3/31/2016,Buys
HB 2391,#,County payroll draw days,C 126 L 16,,3/31/2016,McCabe
HB 2394,af,Parent to parent program,C 92 L 16,,3/31/2016,Walsh
HB 2398,f#,Purchases/agencies for blind,C 40 L 16,,3/29/2016,Holy
EHB 2400,f#,Steel slag from electric arc,C 165 L 16,,4/1/2016,Fitzgibbon
HB 2403,f,Down syndrome resources,C 70 L 16,,3/29/2016,Kochmar
SHB 2405,,"Notices, records, & parties",C 93 L 16,,3/31/2016,Muri
SHB 2410,,Firearm conviction database,C 94 L 16,,3/31/2016,Hayes
SHB 2413,,Aircraft registration,C 20 L 16,,3/25/2016,Dent
SHB 2425,,Massage therapists,C 41 L 16,,3/29/2016,Kuderer
SHB 2427,a,Local gov. modernization,C 95 L 16,,3/31/2016,Springer
HB 2432,f,Substance abuse monitoring,C 42 L 16,,3/29/2016,Riccelli
ESHB 2433,,CPA firm mobility,C 127 L 16,,3/31/2016,Vick
E2SHB 2439,af,Youth mental health services,C 96 L 16,,3/31/2016,Kagi
SHB 2440,af,Youth host home programs,C 166 L 16,,4/1/2016,Kagi
SHB 2443,d,Conversion vending&med units,C 167 L 16,,4/1/2016,Sells
HB 2444,fd,Industrial classif. system,C 168 L 16,,4/1/2016,Manweller
SHB 2448,f,East Asian med. therapies,C 97 L 16,,3/31/2016,Robinson
2SHB 2449,af#,Truancy reduction,C 205 L 16,PV,4/1/2016,Orwall
ESHB 2450,f,Critical access hospitals,C 31 L 16 E1,,4/18/2016,Tharinger
HB 2457,#,Electric utility easements,C 98 L 16,,3/31/2016,Young
ESHB 2458,a,Rx donation program,C 43 L 16,,3/29/2016,Parker
HB 2476,,180-day school year waivers,C 99 L 16,,3/31/2016,Johnson
EHB 2478,af,Pollinator forage preserv.,C 44 L 16,,3/29/2016,Peterson
SHB 2498,f,Dental prior authorization,C 128 L 16,,3/31/2016,Caldier
ESHB 2511,af,Child care center licensing,C 169 L 16,,4/1/2016,Pike
HB 2516,,Commuter ride-sharing/CTSPs,C 21 L 16,,3/25/2016,Kirby
SHB 2519,#,Nuisance abatement costs,C 100 L 16,,3/31/2016,McCaslin
HB 2520,fo#,Marijuana sales/cooperatives,C 170 L 16,,4/1/2016,Wylie
HB 2521,fo,Marijuana disposal,C 171 L 16,,4/1/2016,Wylie
ESHB 2524,ad,Trans sup budget 2015-2017,C 14 L 16,PV,3/25/2016,Clibborn
2SHB 2530,af#,Victims of sex crimes,C 173 L 16,,4/1/2016,Orwall
SHB 2539,f#,Real estate tax/inheritance,C 174 L 16,,4/1/2016,Nealey
ESHB 2540,f,Annual tax surveys & reports,C 175 L 16,,4/1/2016,Nealey
SHB 2541,f#,Involuntary treatment orders,C 45 L 16,,3/29/2016,Frame
ESHB 2545,af,Flame retardant chemicals,C 176 L 16,,4/1/2016,Van De Wege
HB 2557,f,Unused shared leave return,C 177 L 16,,4/1/2016,"Hunt, S."
HB 2565,f,Local sales & use tx changes,C 46 L 16,,3/29/2016,Vick
SHB 2580,af,Blood establishments,C 47 L 16,,3/29/2016,Cody
SHB 2584,f,Marijuana info. disclosure,C 178 L 16,,4/1/2016,Vick
HB 2587,,Superior court judges' assoc,C 179 L 16,,4/1/2016,Rodne
ESHB 2591,f#,Dependency hearing notices,C 180 L 16,,4/1/2016,Hargrove
HB 2597,f,School sexual abuse plans,C 48 L 16,,3/29/2016,Orwall
SHB 2598,f#,Vehicle cargo extensions,C 22 L 16,,3/25/2016,Orcutt
HB 2599,f,Freight mobility bd. funding,C 23 L 16,,3/25/2016,Orcutt
HB 2605,f,Beer tasting event permit,C 129 L 16,,3/31/2016,Kirby
HB 2623,fd,Advisory measure recounts,C 204 L 16,,4/1/2016,Van Werven
HB 2624,fd#,Election errors,C 130 L 16,,3/31/2016,"Hunt, S."
HB 2634,fd,Dairy farm nutrient uses,C 101 L 16,,3/31/2016,Buys
HB 2637,af,Historic cemetery preserv.,C 102 L 16,,3/31/2016,Manweller
SHB 2644,a,Animal forfeiture,C 181 L 16,,4/1/2016,Blake
HB 2651,fd,Vehicle maximum gross weight,C 24 L 16,,3/25/2016,Rossetti
HB 2663,f,Sunshine committee recs.,C 182 L 16,,4/1/2016,Springer
E2SHB 2667,,Parks & rec. commission,C 103 L 16,,3/31/2016,Farrell
SHB 2678,f,Nursing home facilities,C 131 L 16,,3/31/2016,Schmick
2SHB 2681,a,Pharmacies/contraceptives,C 132 L 16,,3/31/2016,Stambaugh
HB 2694,af,Tribe emergency placements,C 49 L 16,,3/29/2016,DeBolt
ESHB 2700,a,Impaired driving,C 203 L 16,,4/1/2016,Goodman
SHB 2711,af,Sexual assault nurses,C 50 L 16,,3/29/2016,McCabe
2SHB 2726,f,Retirement communities,C 183 L 16,,4/1/2016,Walkinshaw
SHB 2730,f,Prescription monitoring prg.,C 104 L 16,,3/31/2016,Peterson
HB 2741,fd#,State & local fiscal agents,C 105 L 16,,3/31/2016,Kuderer
EHB 2745,,Ferry committee appointments,C 25 L 16,,3/25/2016,Fitzgibbon
ESHB 2746,f#,Juvenile offender treatment,C 106 L 16,,3/31/2016,Walkinshaw
EHB 2749,afd,Child welfare system perf.,C 184 L 16,,4/1/2016,Kagi
SHB 2765,f#,Park ranger authority,C 185 L 16,,4/1/2016,Kretz
HB 2768,f,Dental plan taxes & charges,C 133 L 16,,3/31/2016,Schmick
HB 2771,,Hospital district contracts,C 51 L 16,,3/29/2016,Bergquist
HB 2772,f,Hospital district job orders,C 52 L 16,,3/29/2016,Johnson
HB 2773,,Coroners/warrant authority,C 186 L 16,,4/1/2016,Klippert
2ESHB 2778,f,Clean alt. fuel vehicles,C 32 L 16 E1,,4/18/2016,Fey
HB 2781,f,Massage transfer programs,C 53 L 16,,3/29/2016,Harris
ESHB 2785,f#,Solid fuel burning devices,C 187 L 16,,4/1/2016,Shea
2SHB 2791,af,WA statewide reentry council,C 188 L 16,,4/1/2016,Pettigrew
E2SHB 2793,af#,Suicide education,C 90 L 16,PV,3/31/2016,Orwall
HB 2800,,Double amendment correction,C 189 L 16,,4/1/2016,Haler
HB 2807,f,Heavy haul industr corridors,C 26 L 16,,3/25/2016,Dye
HB 2808,a,Invol. treat. petitions,C 107 L 16,,3/31/2016,Jinkins
HB 2815,f#,Regional transp. plan. orgs.,C 27 L 16,,3/25/2016,Hayes
SHB 2831,af,Small business liquor sales,C 190 L 16,,4/1/2016,Hurst
HB 2838,fd,DOC limits on contact,C 108 L 16,,3/31/2016,Klippert
2SHB 2839,f,Airplane repair taxes,C 191 L 16,,4/1/2016,Springer
HB 2842,f#,State-owned land/private dev,C 192 L 16,,4/1/2016,Schmick
ESHB 2847,a,Disability retrofitting,C 193 L 16,,4/1/2016,Rossetti
ESHB 2852,,Election data and reporting,C 134 L 16,,3/31/2016,Hudgins
HB 2856,af#,Office of Chehalis basin,C 194 L 16,,4/1/2016,DeBolt
SHB 2859,f,Credit report freezes,C 135 L 16,,3/31/2016,"Hunt, S."
E2SHB 2872,a,WSP recruitment & retention,C 28 L 16,,3/25/2016,Fey
SHB 2875,f,"Office of data privacy, etc.",C 195 L 16,,4/1/2016,Smith
SHB 2876,f,Deed of trust foreclosure,C 196 L 16,,4/1/2016,Orwall
2SHB 2877,f,SNAP benefit dist. dates,C 54 L 16,,3/29/2016,Hickel
EHB 2883,fd,State agency reports,C 197 L 16,,4/1/2016,Senn
SHB 2884,f,Alt. fuel comm. vehicles,C 29 L 16,,3/25/2016,Clibborn
HB 2886,f,Electrical scope of practice,C 198 L 16,,4/1/2016,Manweller
SHB 2900,f#,Corr. inst. prohibited items,C 199 L 16,PV,4/1/2016,Klippert
ESHB 2906,af#,Juvenile offenders reintegr.,C 136 L 16,,3/31/2016,Stambaugh
ESHB 2908,a,Police/deadly force,C 200 L 16,,4/1/2016,Ryu
HB 2918,,City traffic schools,C 201 L 16,,4/1/2016,Gregerson
ESHB 2925,,Wildland fires/livestock,C 109 L 16,,3/31/2016,Dent
ESHB 2928,af,Outdoor burning/forest fires,C 110 L 16,,3/31/2016,Kretz
SHB 2938,af,WA trade conventions/taxes,C 137 L 16,,3/31/2016,Orcutt
EHB 2959,af#,Business tax & licenses,C 55 L 16,,3/29/2016,Lytton
EHB 2971,af#,Real estate/local government,C 138 L 16,,3/31/2016,McBride
SHB 2985,a,Educational space inventory,C 159 L 16,,4/1/2016,Riccelli
ESHB 2988,$,Budget stabilization approps,C 34 L 16 E1,,4/18/2016,Dunshee
HJM 4010,af,WP Stewart mem highway/SR-99,H Filed Sec/St,,3/10/2016,Dunshee
HCR 4400,,State of state/joint session,H Filed Sec/St,,1/13/2015,Sullivan
HCR 4402,,Legislature joint rules,H Filed Sec/St,,1/13/2015,Sullivan
HCR 4403,,"State medals of merit, valor",H Filed Sec/St,,2/27/2015,Sullivan
HCR 4404,,Bills/to house of origin,H Filed Sec/St,,4/24/2015,Sullivan
HCR 4405,,Adjourning SINE DIE,H Filed Sec/St,,4/24/2015,Sullivan
HCR 4406,,Special session bill status,H Filed Sec/St,,7/21/2015,Sullivan
HCR 4407,,Bills/to house of origin,H Filed Sec/St,,5/28/2015,Sullivan
HCR 4408,,Adjourning SINE DIE,H Filed Sec/St,,5/28/2015,Sullivan
