Name, Type, Contributions, Expenditures, Debt
EVERGREEN PRIORITIES, O, 0.00, 0.00, 0.00
FAIRNESS PROJECT, O, 200040.00, 0.00, 0.00
FAIRPAC / CIT TO UPHOLD THE CONSTITUTION, I, 0.00, 0.00, 0.00
FAITH & FREEDOM PAC, O, 0.00, 0.00, 0.00
FAMILIES FOR A RESPONSIBLE BONNEY LAKE, I, 0.00, 0.00, 0.00
FAMILY PAC, O, 0.00, 0.00, 0.00
FAR WEST AGRIBUSINESS PAC, I, 16510.42, 0.00, 0.00
FARMERS EMPLOYEES AND AGENTS PAC, B, 129601.39, 23276.52, 0.00
FILM PAC, B, 0.00, 0.00, 0.00
FIRE SERVICES FUND OF WA, I, 0.00, 0.00, 0.00
FIREFIGHTERS ACTION SUPPORT TEAM, I, 153801.60, 47518.61, 0.00
FISH PAC, I, 0.00, 0.00, 0.00
FORWARD WASHINGTON, O, 0.00, 0.00, 0.00
FOUR YEAR INSTITUTION PAC, O, 14952.14, 163.64, 0.00
FRIENDS OF BELLEVUE FAMILIES & NEIGHBORHOODS, I, 0.00, 0.00, 0.00
FRIENDS OF COMMUNITY & TECH COLLEGES, O, 0.00, 0.00, 0.00
FRIENDS OF FIRE DIST 8, O, 0.00, 0.00, 0.00
FRIENDS OF MASON CO FIRE DIST 5 PROP 1, O, 0.00, 0.00, 0.00
FRIENDS OF THE AQUATIC CENTER, O, 0.00, 0.00, 0.00
FRIENDS OF THE NISQUALLY WATERSHED, O, 0.00, 0.00, 0.00
FRIENDS OF TRANSIT, O, 0.00, 0.00, 0.00
FRIENDS OF WA ST UNIVERSITY (FRIENDS OF WSU), O, 23085.39, 94.74, 0.00
FUSE VOTES, O, 57093.52, 5699.40, 1679.17
GMO FREE FARMERS & FRIENDS - 2015, I, 0.00, 0.00, 0.00
GOOD GOVT LEADERSHIP COUNCIL, O, 0.00, 0.00, 0.00
GRADUATE WA PAC, I, 0.00, 0.00, 0.00
GRANDMOTHERS AGAINST GUN VIOLENCE, I, 44490.15, 5362.47, 0.00
GUN OWNERS ACTION LEAGUE OF WA, I, 67507.65, 6423.63, 0.00
HEALTH INSURANCE AGENTS PAC, B, 9052.48, 202.83, 0.00
HELP US HELP TAXPAYERS - 2016, O, 26355.33, 9360.06, 0.00
HIGH QUALITY CHILDCARE FOR ALL AMERICAN FEDERATION OF TEACHERS, I, 0.00, 0.00, 0.00
HIPSTER PAC OF WA, O, 0.00, 0.00, 0.00
HOME CARE PAC ASSN OF WA, I, 0.00, 0.00, 0.00
HOMEGROWN WA, O, 0.00, 0.00, 0.00
HOP GROWERS PAC, B, 0.00, 0.00, 0.00
HUMAN LIFE PAC, I, 0.00, 0.00, 0.00
HUMAN RIGHTS PARTY, O, 0.00, 0.00, 0.00
HUMANE VOTERS OF WA, O, 15218.77, 5350.63, 375.00
HUNTERS HERITAGE COUNCIL PAC, I, 3208.34, 1500.00, 0.00
ILWU LOCAL 52 PAC FUND COMM, U, 1797.78, 0.00, 0.00
INDEPENDENCE DAY LEADERSHIP PAC, O, 0.00, 0.00, 0.00
INDEPENDENT COMM FOR A BETTER WA ST, I, 0.00, 0.00, 0.00
INDO AMERICAN LEADERSHIP PAC, O, 0.00, 0.00, 0.00
INFORMED CIT COALITION, O, 0.00, 0.00, 0.00
INLAND NORTHWEST LEADERSHIP PAC, O, 0.00, 0.00, 0.00
INLAND NW AGC BUILD EAST PAC, B, 27593.34, 0.00, 0.00
INLAND PACIFIC CHAPTER ASSOC BUILDERS & CONTRACTORS WA PAC, B, 1159.57, 1000.00, 0.00
INSURANCE & FINANCIAL ADVISORS PAC - POLITICAL, B, 37795.47, 1813.73, 0.00
INTEGRITY FIRST, O, 0.00, 0.00, 0.00
INTL BROTHERHOOD OF ELECTRICAL WORKERS 112 PAC, U, 26911.17, 5110.00, 0.00
INTL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 483 PAC, U, 21285.82, 1500.00, 0.00
INTL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 77/JOE MURPHY PAC, U, 164800.11, 15151.95, 0.00
INTL COUNCIL OF SHOPPING CENTERS PAC WA, B, 0.00, 0.00, 0.00
INTL LONGSHORE & WAREHOUSE UNION LOCAL 19 PAC, U, 0.00, 0.00, 0.00
INTL UNION OF ELEVATOR CONSTRUCTORS LOCAL 19 PAC, U, 0.00, 0.00, 0.00
INTL UNION OF OPERATING ENGINEERS LOCAL 286 PAC, U, 0.00, 0.00, 0.00
INTL UNION OPERATING ENGINEERS PAC 280, U, 17220.12, 3215.40, 0.00
IQ CREDIT UNION PAC, B, 1231.05, 500.00, 0.00
ISLAND PAC, O, 512.00, 29.95, 0.00
ISLAND POWER, O, 8127.91, 3316.43, 0.00
IT'S TIME FOR A CHANGE, O, 0.00, 0.00, 0.00
JACKSON LEGACY FUND, O, 0.00, 0.00, 0.00
JENNIFER DUNN LEADERSHIP IMPACT PAC, O, 0.00, 0.00, 0.00
JOBS & OPPORTUNITIES BENEFITING SPOKANE POLITICAL COMM, O, 0.00, 0.00, 0.00
JOBS & PROSPERITY FOR SPOKANE, I, 0.00, 0.00, 0.00
JOINT LABOR COMM OF TACOMA, U, 25219.19, 1252.38, 0.00
K & L GATES CONTINUING PAC, B, 41840.77, 4000.00, 0.00
KALAMA TEA PARTY PAC, O, 0.00, 0.00, 0.00
KEEP CLARK CO WORKING, O, 0.00, 0.00, 0.00
KEEP CLARK COUNTY MOVING, I, 0.00, 0.00, 0.00
KEEP EVERGREEN HEALTH IMPROVING SPONSORED BY AL DEYOUNG, O, 0.00, 0.00, 0.00
KEEP WA ROLLING, I, 21913.13, 16993.87, 5358.00
KENT FIREFIGHTERS INTL ASSN OF FIRE FIGHTERS LOCAL 1747 PAC, U, 14080.47, 1000.00, 0.00
KIDS FIRST, I, 0.00, 0.00, 0.00
KING CO POLICE OFFICERS GUILD PAC, U, 5080.59, 2000.00, 0.00
KING CO WORKING FAMILIES PAC, O, 7198.93, 4000.00, 0.00
KITSAP CO CENTRAL LABOR COUNCILS COMM ON POLITICAL EDUCATION, U, 0.00, 0.00, 0.00
KITSAP PATRIOTS TEA PARTY, I, 7027.64, 2160.00, 800.00
KITSAPCARES, I, 0.00, 0.00, 0.00
LACEY BUSINESS LEAGUE, B, 0.00, 0.00, 0.00
LATINO PAC, O, 7427.89, 509.94, 345.66
LAW ENFORCEMENT ADMINISTRATORS OF WA, O, 0.00, 0.00, 0.00
LEAGUE OF HUMANE VOTERS WA ST CHAPTER, I, 0.00, 0.00, 0.00
LFP GOV WATCH, I, 0.00, 0.00, 0.00
LIBERTY FUND PAC, O, 0.00, 0.00, 0.00
LIFE ISSUES FAMILY ETHICS PAC, O, 0.00, 0.00, 0.00
LM PAC, O, 1080.00, 0.00, 0.00
LOCAL IAFF 2781 PAC, U, 13585.09, 0.00, 0.00
LOWER COLUMBIA CONTRACTORS ASSN AFFORDABLE HOUSING COUNCIL, B, 0.00, 0.00, 0.00
LOWER OCEAN SHORES TAXES, I, 0.00, 0.00, 0.00
LYNNWOOD CIT FOR FIREWORKS & FREEDOM, I, 0.00, 0.00, 0.00
MACPAC SPONSORED BY WA MCDONALDS OWNER OPERATORS ASSN, B, 38796.71, 0.00, 0.00
MAIN STREET MATTERS, I, 982.71, 64.35, 0.00
MANUFACTURED HOUSING COMM OF WA, B, 45293.46, 0.00, 0.00
MARTIN LUTHER KING JR CO LABOR COUNCIL COMM ON POLITICAL EDUCATION, U, 9248.01, 1928.52, 0.00
MASONRY FIRST INDUSTRY PAC, O, 0.00, 0.00, 0.00
MASTER BUILDERS ASSN OF KING & SNOHOMISH CO AFFORDABLE HOUSING COUNCIL, B, 210229.56, 75331.24, 0.00
MASTER BUILDERS ASSN OF KING & SNOHOMISH CO HOUSING ADVOCACY FUND, I, 0.00, 0.00, 0.00
MASTER BUILDERS ASSN OF PIERCE CO AFFORDABLE HOUSING COUNCIL, B, 11020.18, 0.00, 0.00
MENTAL HEALTH PAC, O, 340.70, 200.00, 0.00
MERCER ISLAND COMMUNITY COUNCIL, O, 0.00, 0.00, 0.00
MIDDLE CLASS ALLIANCE, O, 0.00, 0.00, 0.00
MIDDLE SCHOOL FIRST, O, 0.00, 0.00, 0.00
MINORITY BUSINESS ACTION COMM, B, 0.00, 0.00, 0.00
MOMS FOR LABELING, I, 0.00, 0.00, 0.00
MONROE POLICE OFFICERS GUILD PAC, U, 0.00, 0.00, 0.00
MOSES LAKE FIRE FIGHTERS LOCAL 2052, U, 0.00, 0.00, 0.00
MOVEMENT FOR POLITICAL REVOLUTION, O, 0.00, 0.00, 0.00
MYVOTECOUNTS, O, 66346.26, 1246.26, 137.50
NARAL PRO-CHOICE WA PAC, I, 4372.30, 603.50, 0.00
NATIVE WOMENS PAC, O, 4094.93, 1991.42, 550.00
NATL ASSN OF INDUSTRIAL & OFFICE PROPERTIES WA CHAPTER PAC, B, 68417.97, 1070.00, 0.00
NATL FED OF INDEPENDENT BUSINESS/WA SAVE AMERICA'S FREE ENTERPRISE TRUST, B, 33790.05, 4000.00, 0.00
NATL ORGANIZATION TO REGAIN THE MAJORITY, I, 0.00, 0.00, 0.00
NATL WOMENS POLITICAL CAUCUS OF WA CAMP FUND, I, 10283.55, 2362.94, 0.00
NEW DIRECTION PAC, I, 119260.70, 112371.00, 1250.00
NEW MAJORITY (REAGAN FUND) PAC, O, 0.00, 0.00, 0.00
NEXTGEN CLIMATE ACTION COMM - WASHINGTON SPONSORED BY TOM STEYER, O, 0.00, 0.00, 0.00
NO REVERSING OUR BENEFITS PAC, I, 0.00, 0.00, 0.00
NORM PAC, I, 0.00, 0.00, 0.00
NORTH CASCADE JOBS ENTERPRISE WA, O, 2000.00, 162.00, 0.00
NORTH CENTRAL AFFORDABLE HOUSING COUNCIL, B, 0.00, 0.00, 0.00
NORTH CO PROFESSIONAL FIRE FIGHTERS, U, 0.00, 0.00, 0.00
NORTHWEST ALLIANCE FOR PROGRESS PAC, O, 0.00, 0.00, 0.00
NORTHWEST DAIRYMENS POLITICAL EDUCATION COMM SPONSORED BY DARIGOLD, B, 5534.43, 3600.00, 0.00
NORTHWEST GROCERY ASSN WA PAC, B, 0.00, 0.00, 0.00
NORTHWEST HOUSING ASSN PAC, B, 8799.40, 0.00, 0.00
NORTHWEST MARINE TRADE ASSN PAC, B, 27129.77, 2506.00, 0.00
NORTHWEST SPORTFISHING INDUSTRY ASSN, B, 53422.70, 3274.54, 0.00
NORTHWEST TRANSIT PAC, O, 0.00, 0.00, 0.00
NORTHWEST TRIBAL PAC, O, 0.00, 0.00, 0.00
NORTHWEST YACHT BROKERS ASSN, B, 0.00, 0.00, 0.00
NUCOR PAC OF WA, B, 23752.94, 0.00, 0.00
NW PROGRESS PAC, O, 0.00, 0.00, 0.00
NW TRIBES FOR DEBORA, O, 0.00, 0.00, 0.00
OCEAN SHORES YES, I, 0.00, 0.00, 0.00
OFFICE & PROFESSIONAL EMPLOYEES LOCAL 8 PAC FUND, U, 15985.04, 1672.97, 0.00
OLYMPIANS FOR A LIVABLE COMMUNITY PARKS OPEN SPACE SIDEWALKS, O, 0.00, 0.00, 0.00
ONE AMERICA VOTES, I, 130145.21, 57649.28, 0.00
ONE WA PAC, O, 0.00, 0.00, 0.00
ONEAMERICA VOTES JUSTICE FUND, I, 0.00, 0.00, 0.00
OUR OLYMPIC COMMUNITIES ENTERPRISE WA, O, 2000.00, 117.00, 0.00
OUR PATIENTS COME FIRST PAC - WA AMBULATORY SURGERY CENTER ASSN, I, 56484.15, 0.00, 0.00
OUR WASHINGTON, I, 303904.02, 133401.61, 20371.87
OUR WATER OUR CHOICE, O, 0.00, 0.00, 0.00
PACIFIC MERCHANT SHIPPING ASSN WA PAC, O, 73014.53, 3031.53, 0.00
PACIFIC PRINTING INDUSTRIES WA PAC, B, 318.00, 135.00, 0.00
PARKS & RECREATION COALITION, O, 0.00, 0.00, 0.00
PATRIOT NEXT SUPER PAC, O, 0.00, 0.00, 0.00
PEOPLE FOR AFFORDABLE HOUSING CHOICES, I, 0.00, 0.00, 0.00
PEOPLE FOR INTEGRITY IN THE 7TH DIST, O, 0.00, 0.00, 0.00
PEOPLE FOR JOBS ENTERPRISE WA, I, 7240.90, 3145.00, 0.00
PEOPLE FOR MIDDLE-OUT-ECONOMICS (NICK HANAUER), O, 0.00, 0.00, 0.00
PEOPLE FOR MUKILTEO, I, 0.00, 0.00, 0.00
PEOPLE FOR PROGRESS (MC2), O, 0.00, 0.00, 0.00
PERKINS COIE WA ST PAC, B, 5659.51, 0.00, 0.00
PERMANENT DEFENSE PAC, O, 2097.22, 164.89, 0.00
PERTEET INC PAC, B, 4983.00, 750.00, 0.00
PHYSICIAN ANESTHESIA PAC, B, 6569.55, 0.00, 0.00
PHYSICIANS EYEPAC - WA ACADEMY OF EYE PHYSICIANS & SURGEONS, B, 107785.15, 0.00, 0.00
PIERCE CO BETTER GOVT LEAGUE VEF, I, 0.00, 0.00, 0.00
PIERCE CO COMM ON POLITICAL EDUCATION AFL CIO, U, 7290.42, 1860.00, 0.00
PIERCE CO PROSECUTING ATTORNEYS ASSN POLITICAL FUND, O, 0.00, 0.00, 0.00
PLANNED PARENTHOOD VOTES WA PAC, I, 57977.31, 10546.24, 550.00
PLUMBERS & STEAMFITTERS LOCAL 598 PAC, U, 758528.61, 271324.73, 0.00
POLITICAL DESTINY, O, 0.00, 0.00, 0.00
PORT ORCHARD CIT FOR RESPONSIBLE GOVERNMENT, I, 0.00, 0.00, 0.00
PRO SHORELINE, I, 0.00, 0.00, 0.00
PROF & TECH EMPLOYEES LOCAL 17 PAC, U, 56607.98, 2025.00, 0.00
PROFESSIONAL FIREFIGHTERS OF KITSAP CO, U, 0.00, 0.00, 0.00
PROFESSIONAL INSURANCE AGENTS OF WA PAC, B, 2283.79, 224.50, 0.00
PROGRESS FOR PUBLIC SAFETY PAC LACEY PROFESSIONAL FIRE FIGHTERS, O, 23518.55, 1800.00, 0.00
PROGRESS NOW PAC, O, 0.00, 0.00, 0.00
PROGRESS UNDER DEMOCRACY, O, 0.00, 0.00, 0.00
PROGRESSIVE CONSERVATIVE COALITION PAC, O, 0.00, 0.00, 0.00
PROGRESSIVE LEADERSHIP PAC, O, 100.00, 0.00, 0.00
PROGRESSIVE MAJORITY WA PAC, O, 2178.05, 101.30, 0.00
PROGRESSIVE PARTY OF WA, O, 0.00, 0.00, 0.00
PROLIANCE SURGEONS PAC, O, 92410.50, 47200.00, 0.00
PROSSER SCHOOLS CIT COMM, O, 0.00, 0.00, 0.00
PROTECT OUR GUN RIGHTS, I, 30139.38, 16356.51, 0.00
PROTECT WA, I, 0.00, 0.00, 0.00
PROTECT WASHINGTON JOBS, O, 0.00, 0.00, 0.00
PUBLIC SAFETY PAC, I, 0.00, 0.00, 0.00
PUBLIC SCHOOL EMP OF WA POLITICAL FUND, U, 2882.28, 112.28, 0.00
PUBLIC UTILITY DISTRICTS PAC, O, 2536.00, 923.33, 0.00
PUGET SOUND CHAPTER NATL ELECTRICAL CONTRACTORS ASSN PAC, O, 133137.11, 58485.00, 0.00
PUGET SOUND LEADERSHIP PAC, O, 82640.02, 5525.28, 9530.49
PUGET SOUND PILOTS PAC, O, 169558.11, 16471.00, 415.00
PUTTING PEOPLE FIRST, O, 0.00, 0.00, 0.00
QUALITY BAINBRIDGE, O, 977.44, 61.76, 0.00
QUALITY COMMUNITIES COMM (REAGAN FUND), O, 0.00, 0.00, 0.00
RACE FORWARD PAC, O, 0.00, 0.00, 0.00
RAISE EVERY VOICE PAC, O, 6456.54, 1756.07, 0.00
REACHOUT WA PAC, I, 0.00, 0.00, 0.00
RECOVER WA PAC, I, 10151.91, 2825.00, 0.00
RECREATIONAL GAMING ASSN PAC, B, 27141.03, 0.00, 0.00
REFORM CITY HALL NOW!, I, 0.00, 0.00, 0.00
RENTAL HOUSING ASSN PAC, B, 53902.15, 21593.11, 0.00
REPRESENT WA PAC, O, 0.00, 0.00, 0.00
RESPECT WA, I, 316.69, 0.00, 35889.96
RESPECT WASHINGTON, I, 0.00, 0.00, 0.00
RETAIL ACTION COUNCIL-WA RETAIL ASSN, B, 59991.16, 1000.00, 0.00
RETIRED PUBLIC EMPLOYEES COUNCIL OF WA, U, 11134.56, 500.00, 0.00
REUNITE CLARK CO, O, 0.00, 0.00, 0.00
REVISING THE STATUS QUO PAC, I, 691.66, 14.00, 0.00
REYKDAL EDUCATION & LEADERSHIP PAC, O, 3670.00, 1450.00, 0.00
RIGHT NORTHWEST CHICKS, O, 0.00, 0.00, 0.00
RSC 1 PAC, O, 0.00, 0.00, 0.00
SAFEST CITY SPOKANE IAFF29, I, 34311.00, 0.00, 0.00
SAVE ANIMALS FACING EXTINCTION, O, 194168.58, 194168.58, 0.00
SAVE OUR CHOICE, I, 1569.19, 0.00, 7878.07
SAVE THE GULCH, I, 0.00, 0.00, 0.00
SAVING WHATCOM CO DBA SAVE WHATCOM, O, 0.00, 0.00, 0.00
SAVINGS ASSN VOLUNTARY PAC SAVPAC, B, 0.00, 0.00, 0.00
SCOTT WHITE MEMORIAL PAC, O, 0.00, 0.00, 0.00
SEATTLE FIREFIGHTERS UNION LOCAL 27 VOLUNTARY PAC, U, 68042.51, 2000.00, 0.00
SEATTLE PAC, O, 0.00, 0.00, 0.00
SEATTLE POLICE OFFICERS GUILD PAC, U, 0.00, 0.00, 0.00
SEEKING INTELLIGENT CANDIDATES PAC, I, 0.00, 0.00, 0.00
SERVICE EMPLOYEES INTL UNION 1199 NORTHWEST PAC, U, 71803.88, 16275.00, 0.00
SERVICE EMPLOYEES INTL UNION 775 QUALITY CARE COMM, U, 530695.95, 14811.10, 0.00
SERVICE EMPLOYEES INTL UNION LOCAL 6 PAC, U, 3200.00, 1000.00, 0.00
SERVICE EMPLOYEES INTL UNION LOCAL 925 PUBLIC SERVICE PAC, U, 238235.50, 4866.00, 0.00
SERVICE EMPLOYEES INTL UNION WA ST COUNCIL PAC, U, 402238.44, 185083.00, 0.00
SHEET METAL AIR CONDITIONING CONTRACTORS ASSN OF WESTERN WA, B, 9439.05, 0.00, 0.00
SHEET METAL WORKERS LOCAL 66 PAC, U, 300.00, 0.00, 0.00
SHORELINE MERCHANTS ASSN PAC, B, 0.00, 0.00, 0.00
SIERRA CLUB HEALTHY COMMUNITIES PAC, O, 0.00, 0.00, 0.00
SIERRA CLUB PAC WA ST, I, 0.00, 0.00, 0.00
SKAGIT ISLAND CO BUILDERS ASSN PAC, B, 16783.94, 236.93, 0.00
SNO-ISLE TEA PARTY, I, 0.00, 0.00, 0.00
SNO4CITIZENS SNOHOMISH FIRE FIGHTERS L2694, U, 0.00, 0.00, 0.00
SNOHOMISH CO FIRE DIST 10 VOTER EDUCATION FUND, O, 0.00, 0.00, 0.00
SNOHOMISH CO FORWARD, O, 0.00, 0.00, 0.00
SNOMOBILE WA PAC, B, 759.95, 25.00, 0.00
SOUTH SOUND FUTURE PAC ENTERPRISE WA, O, 39531.61, 3447.00, 0.00
SOUTHWEST COMMUNITIES ENTERPRISE WA, O, 27000.00, 117.00, 0.00
SOUTHWEST WA ELECTRICIANS PAC 48 OF WA, U, 45350.52, 21964.71, 0.00
SPOKANE CIT FOR POLITICAL EDUCATION, O, 0.00, 0.00, 0.00
SPOKANE FIREFIGHTERS UNION PAC, U, 29780.44, 18700.00, 0.00
SPOKANE FOR HONEST GOVT, O, 0.00, 0.00, 0.00
SPOKANE HOME BUILDERS ASSN PAC, B, 10818.30, 6586.82, 0.00
SPOKANE POLICE GUILD PAC, U, 0.00, 0.00, 0.00
SPOKANE REGIONAL LABOR COUNCIL AFL-CIO COPE, U, 8429.74, 3850.00, 0.00
SPOKANE TEA PARTY PATRIOTS, O, 801.47, 796.74, 0.00
SPOKANE VALLEY FIREFIGHTERS PAC, U, 200.00, 200.00, 0.00
