 ,  , Q1 Totals, Q2 Totals, Q3 Totals, Q4 Totals, Annual Totals
FINANCIAL MANAGEMENT; OFFICE OF, 2015, 49199.18, 28364.15, 13329.30, 2551.68, 93444.31
FISH & WILDLIFE; DEPT OF, 2015, 8530.63, 2888.92, 1003.12, 3927.10, 16349.77
FRANKLIN CO, 2015, 990.00, 990.00, 990.00, 990.00, 3960.00
FRANKLIN PIERCE SD 402, 2015, 36000.00, 27000.00, 9000.00, 11000.00, 83000.00
GAMBLING COMMISSION, 2015, 2306.27, 93.93, 0.00, 939.68, 3339.88
GOVERNOR; OFFICE OF, 2015, 21302.31, 1974.62, 403.96, 626.30, 24307.18
GRANT PUD 02 - ELE, 2015, 12812.50, 2062.50, 6000.00, 1500.00, 22375.00
GRAYS HARBOR PUD 01, 2015, 949.22, 0.00, 0.00, 0.00, 949.22
HEALTH CARE AUTHORITY, 2015, 3204.62, 677.75, 0.00, 1312.82, 5195.20
HEALTH; DEPT OF, 2015, 77677.94, 708.31, 521.40, 29785.75, 108693.40
HIGHLINE SD 401, 2015, 8855.92, 8751.00, 0.00, 0.00, 17606.92
INSURANCE COMMISSIONER; OFC OF, 2015, 5394.74, 1407.98, 384.62, 312.50, 7499.84
INVESTMENT BOARD; ST, 2015, 487.63, 0.00, 0.00, 0.00, 487.63
ISSAQUAH SD 411, 2015, 4000.00, 13000.00, 3000.00, 0.00, 20000.00
KITSAP CO, 2015, 15403.15, 15301.00, 15300.00, 15455.08, 61459.23
LABOR & INDUSTRIES; DEPT OF, 2015, 3029.25, 311.74, 131.89, 450.06, 3922.94
LAKE WA INSTITUTE OF TECHNOLOGY, 2015, 4960.39, 0.00, 0.00, 0.00, 4960.39
LICENSING; DEPT OF, 2015, 299.10, 0.00, 0.00, 0.00, 299.10
LIFE SCIENCES DISCOVERY FUND, 2015, 14978.00, 0.00, 0.00, 9333.74, 24311.74
MILITARY DEPARTMENT, 2015, 2607.04, 565.87, 0.00, 0.00, 3172.91
MINORITY & WOMENS BUSINESS, 2015, 672.24, 0.00, 0.00, 0.00, 672.24
NATURAL RESOURCES; DEPT OF, 2015, 12277.27, 2409.83, 1055.32, 12671.63, 28414.05
NORTHSHORE SD 417 , 2015, 364.87, 414.92, 269.71, 587.72, 1637.22
OFFICE OF CIVIL LEGAL AID, 2015, 1228.27, 111.29, 0.00, 923.69, 2263.25
OFFICE OF PUBLIC DEFENSE, 2015, 888.99, 129.48, 0.00, 95.07, 1113.53
PARKS & RECREATION COMMISSION, 2015, 1443.18, 444.31, 9.73, 98.47, 1995.69
PASCO SD 001, 2015, 17933.30, 4800.00, 6600.00, 8014.16, 37347.46
PATROL; WA ST, 2015, 27.20, 3.05, 0.00, 0.00, 30.24
PORT OF BELLINGHAM, 2015, 4265.12, 8874.87, 8910.41, 8291.25, 30341.64
PORT OF BREMERTON 1, 2015, 8683.51, 4450.85, 2305.97, 1613.33, 17053.66
PORT OF EVERETT, 2015, 15399.24, 10818.63, 10500.00, 10500.00, 47217.88
PORT OF TACOMA, 2015, 46012.44, 15274.93, 15136.96, 15179.94, 91604.27
PORT OF WALLA WALLA, 2015, 10500.00, 10860.75, 7485.60, 28000.00, 56846.35
PUBLIC DISCLOSURE COMMISSION, 2015, 414.77, 182.00, 118.20, 98.38, 813.34
PUBLIC INSTRUCTION; SUPT OF, 2015, 2784.83, 1218.83, 798.68, 747.86, 5550.20
PUGET SOUND PARTNERSHIP, 2015, 7680.38, 503.70, 0.00, 92.31, 8276.39
REVENUE; DEPT OF, 2015, 3820.22, 3095.22, 0.00, 0.00, 6915.44
SEATTLE COMM COLLEGE DIST VI, 2015, 420.88, 0.00, 0.00, 0.00, 420.88
SEATTLE SCHOOL DIST 001, 2015, 0.00, 0.00, 0.00, 98136.19, 98136.19
SECRETARY OF STATE; OFFICE OF, 2015, 1921.20, 331.34, 227.17, 1961.88, 4441.58
SNOHOMISH PUD 01 - ELE , 2015, 15791.56, 16074.02, 15218.48, 15541.45, 62625.51
SOCIAL & HEALTH SVCS; DEPT OF, 2015, 6942.50, 1403.21, 0.00, 351.88, 8697.59
SPOKANE PUBLIC FACILITIES DISTRICT, 2015, 8278.91, 6165.80, 3465.40, 3000.00, 20910.11
SPOKANE SD 081, 2015, 42991.36, 22181.36, 5874.94, 3183.84, 74231.50
SPOKANE TRANSIT AUTHORITY, 2015, 13387.50, 13387.50, 13387.50, 13387.50, 53550.00
TACOMA SD 010, 2015, 17233.05, 15000.00, 15000.00, 30000.00, 77233.05
TACOMA-PIERCE COUNTY HEALTH DEPARTMENT, 2015, 6436.59, 0.00, 0.00, 0.00, 6436.59
TRANSPORTATION; DEPT OF, 2015, 906.47, 6.79, 0.00, 0.00, 913.26
UNIVERSITY OF WASHINGTON, 2015, 125434.93, 50246.56, 68826.62, 32645.73, 277153.84
WA DEVELOPMENTAL DISABILITIES COUNCIL, 2015, 0.00, 314.62, 0.00, 2840.40, 3155.02
WASHINGTON STATE BOARD OF HEALTH, 2015, 240.26, 0.00, 0.00, 189.42, 429.69
WASHINGTON STATE BOARD OF TAX APPEALS, 2015, 0.00, 0.00, 0.00, 66.20, 66.20
WASHINGTON STATE CONVENTION CENTER PUBLIC FACILITIES DISTRICT, 2015, 24578.19, 21500.00, 11004.50, 9500.00, 66582.69
WASHINGTON STATE HISTORICAL SOCIETY, 2015, 661.51, 0.00, 0.00, 0.00, 661.51
WASHINGTON STATE UNIVERSITY, 2015, 58189.59, 32633.41, 36561.91, 39968.47, 167353.38
WASHINGTON STUDENT ACHIEVEMENT COUNCIL, 2015, 6366.18, 595.58, 567.60, 1622.21, 9151.57
WASHINGTON TRAFFIC SAFETY COMMISSION, 2015, 230.21, 157.14, 78.55, 29.46, 495.36
WESTERN WASHINGTON UNIVERSITY, 2015, 11216.42, 2291.58, 1002.88, 9057.21, 23568.10
WORKFORCE TRAINING AND EDUCATION COORDINATING BOARD, 2015, 180.63, 52.69, 0.00, 0.00, 233.32
