Rank,Donor,Total,To Conservs,To Liberals,% to Conservs,% to Liberals
158,Total Wine & More,"$120,000 ",$0 ,"$120,000 ",0%,100%
158,Walker Investments,"$120,000 ","$120,000 ",$0 ,100%,0%
161,National Assn of Letter Carriers,"$115,000 ","$15,000 ","$100,000 ",13%,87%
162,American Society of Anesthesiologists,"$110,000 ",$0 ,"$110,000 ",0%,100%
163,Working Philadelphians Pac,"$109,897 ",$0 ,"$109,000 ",0%,100%
164,Southern Strategy,"$107,844 ","$107,844 ",$0 ,100%,0%
165,Dimare Homestead,"$105,000 ","$105,000 ",$0 ,100%,0%
165,Moko Social Media,"$105,000 ",$0 ,"$105,000 ",0%,100%
167,Ben Hill Griffin Inc,"$101,217 ","$101,217 ",$0 ,100%,0%
168,JM Family Enterprises,"$100,250 ","$100,250 ",$0 ,100%,0%
169,ABC Land & Development,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Agro Industrial Management,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Alico Inc,"$100,000 ","$100,000 ",$0 ,100%,0%
169,America Works,"$100,000 ",$0 ,"$100,000 ",0%,100%
169,America's Liberty PAC,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Americas Export Corp,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Arcanum Global,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Barreto Group,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Berg & Berg Enterprises,"$100,000 ",$0 ,$0 ,0%,0%
169,Boeing Co,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Brown & Brown Insurance,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Center for Specialized Realtor Education,"$100,000 ",$0 ,$0 ,0%,0%
169,Cheniere Energy,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Christopher D Orthwein Trust,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Commercial Warehousing Inc,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Custom Management Services,"$100,000 ","$100,000 ",$0 ,100%,0%
169,D&D Funding II,"$100,000 ","$100,000 ",$0 ,100%,0%
169,DFX LLC (Francis Najafi),"$100,000 ","$100,000 ",$0 ,100%,0%
169,Dwd Mechanical Contractor,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Evans Properties,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Evermarine Yacht Sales,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Fayard Law Firm,"$100,000 ",$0 ,"$100,000 ",0%,100%
169,Financial Resources LLC,"$100,000 ",$0 ,$0 ,0%,0%
169,Fletcher Jones Management Group,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Greenleaf Trust,"$100,000 ",$0 ,"$100,000 ",0%,100%
169,Hampshire Real Estate Companies,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Heather Oaks LLC,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Hilliard Brothers of Florida,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Hillwood Development,"$100,000 ","$100,000 ",$0 ,100%,0%
169,JTS Enterprises of Tampa,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Kapland Inc,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Las Americas Multimedia Group,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Laser Spine Institute,"$100,000 ","$100,000 ",$0 ,100%,0%
169,LB Interests LLC,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Lehigh Gas,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Masimo Corp,"$100,000 ",$0 ,"$100,000 ",0%,100%
169,Melix Corp,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Mitchell Management,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Morris & Dickson,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Nature's Best,"$100,000 ","$100,000 ",$0 ,100%,0%
169,"O'Toole, Fernandez et al","$100,000 ","$100,000 ",$0 ,100%,0%
169,Peace River Citrus Products,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Petway Real Estate LLC,"$100,000 ","$100,000 ",$0 ,100%,0%
169,PVS Chemicals,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Raymond James Financial,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Revily Inc,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Richard Hurt Trust,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Right To Rise USA,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Scotts Co,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Sentrilock LLC,"$100,000 ",$0 ,$0 ,0%,0%
169,SF Investments,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Shamrock Foods,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Shred-It,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Silverman Investments,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Stanley C Silverman Revocable Trust,"$100,000 ","$100,000 ",$0 ,100%,0%
169,STERLING FOUNDATION MANAGEMENT,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Stofin Co,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Teton Data Systems,"$100,000 ",$0 ,$0 ,0%,0%
169,Th Holdings,"$100,000 ","$100,000 ",$0 ,100%,0%
169,United Automobile Insurance Co,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Variety Wholesalers,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Westshore Ventures,"$100,000 ","$100,000 ",$0 ,100%,0%
169,William Edward Bloomfield Trust,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Woodbridge Luxury Homes of California,"$100,000 ","$100,000 ",$0 ,100%,0%
169,Workers' Voice,"$100,000 ",$0 ,"$100,000 ",0%,100%
169,York Investment Lp,"$100,000 ","$100,000 ",$0 ,100%,0%
