 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
BURKLAND ANNE, 15000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15000.00
BURRIS WILLIAM, 6000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6000.00
BUSH JOHN, 300.00, 251.76, 0.00, 0.00, 35.62, 0.00, 0.00, 587.38
BUSZ ANDREW, 510.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 510.56
BUTLER LAURA, 6000.00, 0.00, 266.66, 0.00, 0.00, 0.00, 0.00, 6266.66
CAAN GEORGE, 4600.00, 0.00, 13161.00, 0.00, 0.00, 0.00, 0.00, 17761.00
CALL SHERI, 7916.68, 0.00, 21166.50, 0.00, 0.00, 0.00, 0.00, 29083.18
CALVERT DEANNE, 11000.00, 488.43, 38.46, 0.00, 64.13, 0.00, 0.00, 11591.02
CAMPANO PHYLLIS, 186.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 186.80
CAPITOL CONNECTION* , 134878.65, 518.69, 0.00, 5300.00, 0.00, 0.00, 0.00, 140697.34
CAPITOL SOLUTIONS* , 117591.82, 0.00, 0.00, 0.00, 0.00, 0.00, 55000.00, 172591.82
CAPITOL STRATEGIES CONSULTING* , 122268.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 122268.75
CARLEN DIANA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CARNEY BADLEY SPELLMAN* , 689651.09, 0.00, 3009.31, 297.36, 0.00, 0.00, 0.00, 692957.56
CARTER AMBER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CASCADE GOVT AFFAIRS LLC* , 244500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 244500.00
CASE PATRICIA, 6200.00, 99.22, 0.00, 0.00, 0.00, 0.00, 0.00, 6299.22
CASTLE ART, 2500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2500.00
CAVE SCOTT, 9127.50, 0.00, 0.00, 0.00, 45.00, 0.00, 0.00, 9172.50
CHAHIM LEDA, 856.23, 801.12, 0.00, 0.00, 0.00, 0.00, 0.00, 1657.35
CHAMPLAIN SUSAN, 41654.00, 3339.33, 0.00, 0.00, 0.00, 0.00, 26.04, 45019.37
CHANDLER GARY, 31500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 31500.00
CHATTIN BRUCE, 4770.50, 149.30, 0.00, 0.00, 88.51, 0.00, 0.00, 5008.31
CHAVEZ ANTHONY, 23877.71, 1454.70, 551.01, 0.00, 0.00, 0.00, 0.00, 25883.42
CHECKERBOARD CONSULTING SERVICES LLC* , 32496.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32496.00
CHERIN SARAH, 1452.72, 0.00, 0.00, 61207.00, 0.00, 0.00, 0.00, 62659.72
CHIECHI DOLORES, 8000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8000.00
CHIECHI MARIA, 5000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5000.00
CHIN CYNTHIA, 2874.00, 75.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2949.00
CHISA HOLLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CHRISTENSEN DONNA, 53750.00, 750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 54500.00
CHRISTOPHERSEN VICKI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CHRISTOPHERSEN INC* , 233250.00, 103.27, 399.00, 0.00, 0.00, 0.00, 0.00, 233752.27
CHURCH KELLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CIVIC GROUP* , 260000.00, 1904.84, 59.00, 0.00, 0.00, 0.00, 0.00, 261963.84
CLARK JACQUELINE, 4800.00, 2798.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7598.00
CLARKE WILLIAM, 113250.00, 1145.30, 0.00, 0.00, 0.00, 0.00, 0.00, 114395.30
CLIFFORD TRAISMAN & ASSOC* , 75750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 75750.00
CLIFTON A FINCH CONSULTING* , 1000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1000.00
CLOGSTON MARY, 43050.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 43050.00
COBB MONTY, 21000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21000.00
COHN JOSEPH, 722.00, 0.00, 0.00, 0.00, 25.00, 0.00, 0.00, 747.00
COLLINS KATHLEEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COMISKY MATTHEW, 324.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 324.00
COMMUNICO* , 286874.90, 5458.18, 3312.48, 0.00, 0.00, 0.00, 0.00, 295645.56
CONNIFF JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CONNOR PATRICK, 43341.68, 1075.57, 1929.39, 0.00, 0.00, 0.00, 0.00, 46346.64
COOPER JIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COOPER ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CORBRIDGE IAN, 99.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 99.00
COYNE DAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COYNE JESERNIG LLC* , 365750.00, 0.00, 1552.85, 0.00, 0.00, 0.00, 0.00, 367302.85
CRAWFORD ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CRONE PAMELA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CROUCH DEVON, 1398.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1398.00
CUMBO GINA, 250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 250.00
CUMMINGS JOSIE, 600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 600.00
CUNNINGHAM JOE, 120.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 120.00
CURRY JAMES, 2457.86, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2457.86
CURTIS MARK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CUSHMAN JEANNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
D MICHENER & CO INC* , 204250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 204250.00
DAHLQUIST CATHY, 34158.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34158.00
DALE LINDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DALE ROBIN, 11850.00, 0.00, 3466.69, 0.00, 0.00, 21500.00, 86000.00, 122816.69
DANDY ELLICOTT, 2802.13, 587.50, 0.00, 0.00, 0.00, 0.00, 0.00, 3389.63
DANIELS JAMIE, 5400.00, 0.00, 7130.00, 0.00, 0.00, 0.00, 0.00, 12530.00
DANIELS JODY, 13440.00, 2832.42, 0.00, 0.00, 0.00, 0.00, 0.00, 16272.42
DANIELS JOE, 82500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 82500.00
DANIELS-BROWN ROMAN, 223331.65, 4026.80, 1035.55, 4600.00, 750.00, 0.00, 0.00, 233744.00
DAVENPORT-SMITH SARAH, 3300.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3300.00
DAVIDSON LYNN, 0.00, 0.00, 0.00, 2500.00, 0.00, 0.00, 0.00, 2500.00
DAVIES NEVA, 392.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 392.50
DAVIS THOMAS, 20000.00, 0.00, 1129.22, 0.00, 0.00, 0.00, 0.00, 21129.22
DAWSON SETH, 52920.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52920.00
DEMERS DAVID, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DENNING MITCH, 13800.00, 584.39, 0.00, 0.00, 0.00, 0.00, 0.00, 14384.39
DENNIS LINDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DENNIS & ASSOC* , 26100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 26100.00
DEUTSCH JOANIE, 12500.00, 97.31, 0.00, 0.00, 0.00, 0.00, 0.00, 12597.31
DEVEREUX GREG, 14650.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14650.00
DEWEY WILLIAM, 8420.45, 0.00, 1572.00, 0.00, 0.00, 0.00, 0.00, 9992.45
DIEDRICK PETER, 13450.00, 154.27, 0.00, 0.00, 0.00, 0.00, 0.00, 13604.27
DILLEY SCOTT, 14000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14000.00
DIRKSEN DEKKER, 2811.80, 0.00, 0.00, 0.00, 0.00, 4071.25, 0.00, 6883.05
DODSON LYNNE, 0.00, 0.00, 0.00, 15422.88, 0.00, 0.00, 0.00, 15422.88
DONAGHY JOHN, 0.00, 0.00, 0.00, 15979.78, 0.00, 0.00, 0.00, 15979.78
DOOLEY THOMAS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DOSER REEN, 28.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28.66
DOTY J DYLAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DOTY & ASSOC INC* , 129759.70, 6124.43, 0.00, 250.00, 0.00, 0.00, 0.00, 136134.13
DOTZAUER ALANNAJANELLE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DOUGLAS DURREL, 832.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 832.72
DOUMIT MARK, 11600.00, 113.89, 125.66, 0.00, 0.00, 0.00, 0.00, 11839.55
DOUMIT MILTON, 50000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50000.00
DRESCHER JOHN, 690.00, 4.50, 0.00, 0.00, 0.00, 0.00, 0.00, 694.50
DREWEL KATIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DUCHARME DAVID, 136700.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 136700.00
DUFURRENA RICHARD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DUKE SCHAUB ASSOCIATES* , 20000.00, 27.66, 0.00, 0.00, 0.00, 0.00, 0.00, 20027.66
DUNCAN STEVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DUNCAN & ASSOCIATES* , 99536.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 99536.00
DUNN PATRICK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DUNN SUSAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DURBIN ANGELA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DURKAN MARTIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DYKSTRA PETER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DZIEDZIC ERIN, 148166.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 148166.65
DZWILEWSKI GEORGETTE, 229.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 229.00
E & A STRATEGIC CONSULTING* , 41900.00, 0.00, 0.00, 500.00, 0.00, 0.00, 0.00, 42400.00
EAGLE DENNIS, 37977.10, 0.00, 0.00, 118405.00, 0.00, 0.00, 0.00, 156382.10
EAGLE GINGER, 16053.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16053.22
ECHOLS TOM, 64916.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 64916.65
EDWARDS TIERNEY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
EHMAN MERF, 149.10, 672.40, 0.00, 0.00, 0.00, 0.00, 0.00, 821.50
EHRENREICH JOHN, 5550.00, 0.00, 0.00, 700.00, 0.00, 0.00, 0.00, 6250.00
EICKMEYER EZRA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ELIA KRISTIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ELIASON DENNY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ELLIOTT CORY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ELLIOTT MIKE, 7800.00, 344.85, 0.00, 0.00, 10.00, 0.00, 0.00, 8154.85
ELLIOTT SUE, 1500.00, 0.00, 1950.00, 0.00, 0.00, 0.00, 0.00, 3450.00
ELLISON JOSEPHINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
EMERICK LESLIE, 60500.00, 625.71, 0.00, 0.00, 0.00, 0.00, 0.00, 61125.71
EMILY MURPHY STRATEGIES LLC* , 58200.00, 0.00, 0.00, 3000.00, 0.00, 0.00, 0.00, 58200.00
ENGAGE STRATEGIES SPC* , 37250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 37250.00
ENGELHARDT RITCHARD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ENGELKING CRAIG, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ENGLE DARREN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ENNIS MICHAEL, 29150.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 29150.02
ENSLOW BRIAN, 3183.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3183.84
ERICKS MARIAN, 8600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8600.00
ESCHELS CURTIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ESSER LUKE, 87750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 87750.00
ESTES JOSHUA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
EVANS ANDREA, 8333.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8333.30
EVANS CARY, 667.61, 80.64, 0.00, 0.00, 0.00, 0.00, 0.00, 748.25
EVANS KELLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
EVANS LORI, 23500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23500.00
EVERGREEN PUBLIC AFFAIRS LLC* , 41955.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 41955.00
EWART HUGH, 1320.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1320.00
EWING HEATHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FALE CORINNA, 6.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6.49
FARLEY JERALD, 98000.00, 2251.68, 0.00, 0.00, 0.00, 0.00, 0.00, 100251.68
FEDERICI KRISTEN, 2460.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2460.00
FEDERICI NICK, 90500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 90500.00
FERRIS ROGER, 3298.98, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3298.98
FETRICK JONATHAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FICKER JOHN, 2500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2500.00
FIELD ED, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
FIELD JACK, 13312.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13312.50
FINCH CLIFTON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
