Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Sponsor (combined),Secondary Sponsor,This Committee Recommendation
"HB 1038","f","Apprenticeship utilization","H Finance","","2/12/2015","Moeller","","","","DPS4 DNP2 w/oRec1 (LAWS 15)","Moeller","Appleton",""
"HB 1039","f#","Voting, signature stamp for","H Rules R","","1/27/2015","Hunt, S.","","","","DPS7 (SG 15)","Hunt, S.","Johnson",""
"HB 1040","","Subversive activities","H Judiciary","","1/12/2015","Fitzgibbon","","","","","Fitzgibbon","Santos",""
"HB 1041","","Marijuana misdemeanors","H Public Safety","","1/12/2015","Fitzgibbon","","","","","Fitzgibbon","Appleton",""
"HB 1042","f","Phys therapy & dry needling","H HC/Wellness","","1/11/2016","Cody","","","71-25-0-2","DP14 (HCW 15)","Cody","Gregerson",""
"HB 1043","","Self-service storage","H subst for","","2/11/2015","Ryu","","SB 5009(S Rules X)","","DPS11 (BFS 15)","Ryu","Parker",""
"HB 1044","f","Minority & women's business","H Approps","","1/21/2015","Santos","","","","DP12 w/oRec1 (TED 15)","Santos","Morris",""
"HB 1045","f","East Asian medicine","H subst for","","2/9/2015","Tharinger","","SB 5162(S Health Care)","","DPS14 (HCW 15)","Tharinger","Harris",""
"HB 1046","","East Asian med practitioners","H HC/Wellness","","1/12/2015","Tharinger","","SB 5161(S Health Care)","","","Tharinger","Harris",""
"HB 1047","fd","Continuity of operations","C 61 L 15","","4/23/2015","Goodman","","SB 5020(S Rules X)","48-1-0-0","DP19 (WM 15)","Goodman","Haler",""
"HB 1048","fo#","Residential mortgage lending","H subst for","","2/11/2015","Kirby","","SB 5299(S subst for)","","DPS11 (BFS 15)","Kirby","Stanford",""
"HB 1049","f","Cadmium/children's jewelry","H Environment","","1/12/2015","Fitzgibbon","","SB 5021(S Rules X)","","","Fitzgibbon","Short",""
"HB 1050","","Annual leave payments","H State Governme","","1/12/2015","Hunt, S.","","","","","Hunt, S.","Johnson",""
"HB 1051","","Supreme court elections","H Judiciary","","1/12/2015","DeBolt","","","","","DeBolt","Dunshee",""
"HB 1052","","Military spouses/higher ed","H subst for","","3/2/2015","Hayes","","","","DPS13 (HE 15)","Hayes","Fey",""
"HB 1053","","Health, dental, vision plans","H subst for","","2/11/2015","Kirby","","SB 5023(S subst for)","","DPS14 (HCW 15)","Kirby","Schmick",""
"HB 1054","","Collection agency fees","H Rules R","","2/6/2015","Stanford","","SB 5222(S Rules X)","","DPS9 DNP2 (BFS 15)","Stanford","Gregerson",""
"HB 1055","fd","Conforming amendments/govt","H Gen Govt & Info","","1/11/2016","Bergquist","","SB 5024(C 225 L 15)","","DP7 (GGIT 15)","Bergquist","Gregerson",""
"HB 1056","f#","Public land and water bodies","H State Governme","","1/12/2015","Haler","","","","","Haler","",""
"HB 1057","f#","Mopeds","H Trans","","1/12/2015","Haler","","","","","Haler","Holy",""
"HB 1058","","Lobbyists, electronic filing","H State Governme","","1/12/2015","Moeller","","","","","Moeller","Hunt, S.",""
"HB 1059","afd#","Sexually violent predators","C 278 L 15","","5/18/2015","Fagan","","SB 5033(S Rules X)","87-6-0-5","DP5 (HSMH 15)","Fagan","Goodman",""
"HB 1060","f#","Litter tax revenues","H subst for","","3/3/2015","Fitzgibbon","","","","DPS(ENVI)7 (GGIT 15)","Fitzgibbon","Short",""
"HB 1061","fo#","District judges, Skagit Cnty","C 25 L 15 E3","","7/6/2015","Hayes","","SB 5174(S Rules X)","45-0-0-4","DP7 (GGIT 15)","Hayes","Lytton",""
"HB 1062","fo","Credit union enforcement/DFI","H Bus & Fin Svcs","","1/11/2016","Stanford","","SB 5300(C 114 L 15)","85-13-0-0","DP11 (BFS 15)","Stanford","Kirby",""
"HB 1063","f","Cosmetology, hair design etc","H subst for","","2/11/2015","Kirby","","","","DPS11 (BFS 15)","Kirby","Blake",""
"HB 1064","f","Locksmith services","H Bus & Fin Svcs","","1/11/2016","Kirby","","","","DPS10 DNP1 (BFS 15)","Kirby","Blake",""
"HB 1065","fo","Insurer holding company act","H Bus & Fin Svcs","","1/11/2016","Kirby","","SB 5717(C 122 L 15)","97-0-0-1","DP7 (GGIT 15)","Kirby","Blake",""
"HB 1066","fo","Longterm care insurance/IROs","H HC/Wellness","","1/12/2015","Tharinger","","","","","Tharinger","Moeller",""
"HB 1067","fd","Medicaid false claims","H subst for","","6/24/2015","Jinkins","","","","DPS(JUDI)20 DNP11 w/oRec2 (APP 15)","Jinkins","Holy",""
"HB 1068","","Sexual assault exam kits","H subst for","","3/2/2015","Orwall","","SB 5225(S Law & Justice)","","DPS(PS)27 DNP5 w/oRec1 (APP 15)","Orwall","Kagi",""
"HB 1069","f#","DNA work product, preserving","H subst for","","2/19/2015","Orwall","","SB 5253(S Law & Justice)","","DPS9 (PS 15)","Orwall","Appleton",""
"HB 1070","","Int. commercial arbitration","H subst for","","2/12/2015","Goodman","","","","DPS12 (JUDI 15)","Goodman","Rodne",""
"HB 1071","o","Form year designations","H Judiciary","","1/11/2016","Goodman","","","","DP9 DNP3 (JUDI 15)","Goodman","",""
"HB 1072","f","Prevailing wage surveys","H Labor","","1/12/2015","Manweller","","SB 5774(S Rules X)","","","Manweller","Vick",""
"HB 1073","f","Prevailing rate of wage","H Labor","","1/12/2015","Manweller","","SB 5775(S Rules X)","","","Manweller","Condotta",""
"HB 1074","f","Prevailing wage survey data","H Labor","","1/12/2015","Manweller","","SB 5950(S Rules X)","","","Manweller","Condotta",""
"HB 1075","f","Prevailing wages, paying of","H Labor","","1/12/2015","Manweller","","SB 5952(S Rules X)","","","Manweller","Condotta",""
"HB 1076","fo","Life insurance reserve req's","H Gen Govt & Info","","1/21/2015","Kirby","","SB 5180(C 142 L 16)","","DPS11 (BFS 15)","Kirby","Vick",""
"HB 1077","fo","Reinsurance, credit for","C 63 L 15","","4/23/2015","Kirby","","","49-0-0-0","DP6 (FI 15)","Kirby","Ryu",""
"HB 1078","fd","Consumer financial info","H subst for","","3/4/2015","Hudgins","","SB 5047(S Law & Justice)","","DPS13 (TED 15)","Hudgins","Morris",""
"HB 1079","","Joint utilization contracts","H State Governmen","","1/11/2016","Kochmar","","SB 5348(S subst for)","","DPS7 (SG 15)","Kochmar","Takko",""
"HB 1080","f","Health professional program","H Approps","","1/12/2015","Harris","","SB 5010(S Ways & Means)","","","Harris","Senn",""
"HB 1081","","College in the high school","H Education","","1/12/2015","Sullivan","","","","","Sullivan","Kagi",""
"HB 1082","","DNA sample/ranked felonies","H Public Safety","","1/12/2015","Hurst","","","","","Hurst","",""
"HB 1083","","Gifts to state officers, etc","H State Governmen","","1/12/2015","Hurst","","","","","Hurst","",""
"HB 1084","","Land use applications/notice","H Local Govt","","1/12/2015","Pollet","","","","","Pollet","Tarleton",""
"HB 1085","f","Lobbyists, electronic filing","H subst for","","3/5/2015","Moeller","","","","DPS22 DNP9 w/oRec2 (APP 15)","Moeller","Gregerson",""
"HB 1086","f","Public record commercial use","H Approps","","2/19/2015","Moeller","","","","DPS5 DNP2 (SG 15)","Moeller","Gregerson",""
"EHB 1087","f#","Traffic safety cameras","H Trans","","1/11/2016","Takko","","","97-0-0-1","DP25 (TR 15)","Takko","Gregerson",""
"HB 1088","","Flood contr zone supervisors","H subst for","","2/11/2015","Takko","","","","DPS7 DNP2 (LG 15)","Takko","",""
"HB 1089","fd","Responsible bidder criteria","H subst for","","2/16/2015","Hunt, S.","","SB 5050(S Commerce and L)","","DPS7 (SG 15)","Hunt, S.","Moscoso",""
"HB 1090","fd#","Finan. fraud, identity theft","C 65 L 15","","4/23/2015","Kirby","","SB 5058(S Law & Justice)","48-0-0-1","DP23 (WM 15)","Kirby","Jinkins",""
"EHB 1091","afd","Ticket sales over internet","C 129 L 15","","4/28/2015","Van De Wege","","SB 5456(S Commerce and L)","94-1-0-3","DPA6 (CL 15)","Van De Wege","Klippert",""
"HB 1092","fd","Patent infringement claims","H Judiciary","","1/11/2016","Jinkins","","SB 5059(S subst for)","","DPS11 DNP1 w/oRec1 (JUDI 15)","Jinkins","Gregerson",""
"HB 1093","f#","Unmanned aircraft","H subst for","","3/4/2015","Morris","","","","DPS10 w/oRec2 (TED 15)","Morris","Moeller",""
"HB 1094","f","Biometric identifiers","H subst for","","3/4/2015","Morris","","","","DPS12 DNP1 (TED 15)","Morris","",""
"HB 1095","f#","Thermal energy efficiency","H subst for","","3/5/2015","Morris","","","","DP2S(w/o sub TED)20 DNP11 w/oRec2 (APP 15)","Morris","Hudgins",""
"HB 1096","","Electric distribution system","H Tech &  Econ D","","1/12/2015","Morris","","","","","Morris","Hudgins",""
"HB 1097","f","Renewable energy/job growth","H Tech &  Econ D","","1/12/2015","Morris","","","","","Morris","Hudgins",""
"HB 1098","f","Electric utility regulation","H Tech &  Econ D","","1/12/2015","Morris","","","","","Morris","",""
"HB 1099","","Contracts over the internet","H Judiciary","","1/12/2015","Morris","","","","","Morris","Appleton",""
"HB 1100","f","Appliance efficiency","H subst for","","2/12/2015","Morris","","","","DPS7 DNP3 w/oRec2 (TED 15)","Morris","Hunt, S.",""
"HB 1101","","Conservation districts","H Local Govt","","1/12/2015","Wilcox","","","","","Wilcox","Blake",""
"HB 1102","f#","Sewer system in right-of-way","H Local Govt","","1/12/2015","Takko","","SB 5055(S GovtOp&StSec)","","","Takko","Reykdal",""
"HB 1103","f","Prescription drug monitoring","H subst for","","2/9/2015","Jinkins","","SB 5027(S subst for)","","DPS14 (HCW 15)","Jinkins","Zeiger",""
"HB 1104","f#","Interference w/ag production","H Public Safety","","1/12/2015","Schmick","","","","","Schmick","Haler",""
"HB 1105","fe","Operating sup budget 2015","H subst for","","1/29/2015","Hunter","","SB 5076(S Ways & Means)","","DPS27 DNP6 (APP 15)","Hunter","Ormsby",""
"HB 1106","fe","Operating budget 2015-2017","H subst for","","4/2/2015","Hunter","","SB 5077(S subst for)","","DPS18 DNP15 (APP 15)","Hunter","Ormsby",""
"HB 1107","f#","Cultural & heritage programs","H Finance","","1/11/2016","Springer","","SB 5463(S subst for)","","DP2S(w/o sub CDHT)12 DNP3 w/oRec1 (FIN 15)","Springer","Wilcox",""
"HB 1108","f","Food truck beer-wine license","H Commerce & Gam","","1/12/2015","Reykdal","","","","","Reykdal","Hunt, S.",""
"HB 1109","f","OSPI certif'd employees/TRS","H subst for","","3/2/2015","Reykdal","","","","DPS31 DNP2 (APP 15)","Reykdal","Wilcox",""
"HB 1110","","Shared parent responsibility","H Judiciary","","1/12/2015","Reykdal","","","","","Reykdal","",""
"HB 1111","o","Court transcripts","H subst for","","2/17/2016","Kilduff","","","97-0-0-1","DPS13 (JUDI 16)","Kilduff","Stokesbary",""
"HB 1112","f","Gold star license plates","H Trans","","1/11/2016","Appleton","","SB 5085(C 208 L 15)","","DP25 (TR 15)","Appleton","Bergquist",""
"HB 1113","","Solemnizing marriages","H Rules 3C","","4/24/2015","Appleton","","","97-0-0-1","DPA7 (LAW 15)","Appleton","Ormsby",""
"HB 1114","f","Internet poker","H Commerce & Gam","","1/12/2015","Appleton","","","","","Appleton","Buys",""
"2EHB 1115","e","Capital budget 2015, 2015-17","C 3 L 15 E3","PV","6/30/2015","Dunshee","","SB 5097(S Ways & Means)","44-1-0-4","DPA20 w/oRec2 (WM 15)","Dunshee","DeBolt",""
"HB 1116","e","Capital sup budget 2015","H Cap Budget","","1/13/2015","Dunshee","","SB 5096(S Ways & Means)","","","Dunshee","DeBolt",""
"HB 1117","fd","Veterans' scoring criteria","H State Governme","","1/13/2015","Klippert","","SB 5074(S Rules X)","","","Klippert","Orwall",""
"HB 1118","f","Fish & wildlife cost savings","H subst for","","3/10/2015","Blake","","","","DP2S(w/o sub AGNR)4 DNP2 w/oRec1 (GGIT 15)","Blake","",""
"HB 1119","f","Hunter safety & minimum ages","H Ag & Nat Res","","1/13/2015","Blake","","","","","Blake","Buys",""
"HB 1120","","School bus driver immunity","H Judiciary","","1/11/2016","Wilcox","","SB 5548(S EL/K-12)","","DPS12 DNP1 (JUDI 15)","Wilcox","Reykdal",""
"HB 1121","f","Financial education prtnrshp","H subst for","","3/2/2015","Parker","","","","DPS20 (ED 15)","Parker","Santos",""
"HB 1122","f#","Dispatch operators","H Labor","","1/13/2015","Sells","","","","","Sells","Gregerson",""
"EHB 1123","","Single-family res. dwellings","H Rules X","","2/26/2016","Blake","","","91-7-0-0","DP4 w/oRec2 (GOS 15)","Blake","Buys",""
"HB 1124","a","Beer and wine sampling","C 180 L 15","","5/7/2015","Takko","","","93-3-0-2","DPA6 (CL 15)","Takko","Morris",""
"HB 1125","f","Econ recovery from wildfires","H Comm Dev, Hous","","1/14/2015","Hawkins","","","","","Hawkins","Robinson",""
"HB 1126","f","Fatality reviews by DEL","H subst for","","3/4/2015","Kagi","","","","DPS(ELHS)26 DNP7 (APP 15)","Kagi","MacEwen",""
"HB 1127","f","Ag labor skills and safety","H subst for","","3/6/2015","Chandler","","","","DPS(LAB)30 DNP3 (APP 15)","Chandler","Sells",""
"HB 1128","f#","DNA sample/ranked felonies","H Public Safety","","1/14/2015","Hurst","","","","","Hurst","",""
"HB 1129","","Civil legal aid, office of","H Judiciary","","1/11/2016","Goodman","","","97-0-0-1","DP13 (JUDI 15)","Goodman","Walsh",""
"HB 1130","fd#","Water power license fees","H subst for","","2/16/2016","Fey","","","","DPS(ENVI)5 w/oRec1 (GGIT 16)","Fey","Short",""
"HB 1131","f","Ivory and rhinoceros horns","H Gen Govt & Info","","2/5/2015","Pettigrew","","SB 5241(S Natural Resour)","","DPS8 DNP4 w/oRec1 (AGNR 15)","Pettigrew","Buys",""
"HB 1132","f","Adult family homes","H subst for","","3/4/2015","Tharinger","","SB 5796(S Health Care)","","DPS15 (HCW 15)","Tharinger","Harris",""
"HB 1133","f#","Public utility tax, counties","H Local Govt","","1/14/2015","Tharinger","","","","","Tharinger","Muri",""
"HB 1134","fd","Certif counselors & advisors","H HC/Wellness","","1/11/2016","Moeller","","SB 5440(S Health Care)","55-42-0-1","DPA8 w/oRec3 (HLTH 15)","Moeller","Harris",""
"HB 1135","fd","Health profession rem. plans","H subst for","","3/9/2015","Cody","","SB 5754(S Health Care)","","DPS15 (HCW 15)","Cody","Harris",""
"HB 1136","fd","Employmnt after govt service","H State Governmen","","1/11/2016","Carlyle","","","","DPS5 DNP2 (SG 15)","Carlyle","Hunt, S.",""
"HB 1137","f","Geologists & well operators","H Ag & Nat Res","","1/14/2015","Short","","","","","Short","Blake",""
"HB 1138","f","Higher ed mental health","H subst for","","3/2/2015","Orwall","","","","DPS13 (HE 15)","Orwall","Haler",""
"HB 1139","f","Human trafficking of youth","H Rules X","","1/28/2016","Orwall","","","97-0-0-1","DP9 (PS 15)","Orwall","Kochmar",""
"HB 1140","f","Psychiatric consultation/HCA","H Approps","","2/19/2015","Orwall","","","","DP15 (HCW 15)","Orwall","Moeller",""
"HB 1141","#","Regional jails, standards","H Public Safety","","1/14/2015","Goodman","","","","","Goodman","",""
"HB 1142","f","Parking fees/H.S. students","H Education","","1/11/2016","Wilcox","","","91-7-0-0","DP21 (ED 15)","Wilcox","Reykdal",""
"HB 1143","","Voted ballot/by fax or email","H State Governmen","","1/11/2016","Hunt, S.","","","","DP4 DNP3 (SG 15)","Hunt, S.","Reykdal",""
"HB 1144","f#","Voter registration","H State Governme","","1/14/2015","Hunt, S.","","","","","Hunt, S.","Fitzgibbon",""
"HB 1145","","Cnty legislative authorities","H subst for","","2/11/2015","Haler","","","","DPS9 (LG 15)","Haler","Fey",""
"HB 1146","f","Higher ed fiscal matters","H Approps","","1/14/2015","Haler","","","","","Haler","Pollet",""
"HB 1147","f","Higher ed admissions study","H Approps","","2/16/2015","Haler","","","","DP10 DNP1 w/oRec2 (HE 15)","Haler","Pollet",""
"HB 1148","f#","Multiple-offense sentencing","H subst for","","2/19/2015","Goodman","","","","DPS9 (PS 15)","Goodman","",""
"HB 1149","f","Students/military families","H subst for","","3/2/2015","Muri","","","","DPS19 DNP2 (ED 15)","Muri","Lytton",""
"HB 1150","f","Child abuse/military parents","H Erly Lrn/H Svc","","1/11/2016","Muri","","SB 5079(C 6 L 15 E1)","","DP11 (ELHS 15)","Muri","Kilduff",""
"HB 1151","f","Caregiver respite services","H Approps","","2/19/2015","Moeller","","","","DPS14 DNP1 (HCW 15)","Moeller","Tarleton",""
"HB 1152","f","Forage fish management","H Approps","","1/11/2016","Fitzgibbon","","","","DP2S(w/o sub AGNR)18 DNP12 w/oRec3 (APP 15)","Fitzgibbon","Stanford",""
"HB 1153","f#","Native lumber grading","H Local Govt","","1/14/2015","Blake","","","","","Blake","Wilcox",""
"HB 1154","f","Affordable college grant pr.","H Approps","","2/20/2015","Bergquist","","","","DPS7 DNP1 w/oRec5 (HE 15)","Bergquist","Zeiger",""
"HB 1155","f","Senior citizens, property tx","H Finance","","1/14/2015","Pike","","","","","Pike","Moeller",""
"HB 1156","","Industr. insurance/jobs act","H Labor","","1/14/2015","Pike","","","","","Pike","Manweller",""
"HB 1157","f#","Quick title service fees","H subst for","","2/19/2015","Pike","","SB 5025(S subst for)","","DPS25 (TR 15)","Pike","Wylie",""
"HB 1158","f#","Growth mgmt/sup court review","H Local Govt","","1/14/2015","Pike","","","","","Pike","Blake",""
"HB 1159","f","Teen driving safety","H subst for","","3/6/2015","Pike","","","","DPS20 DNP2 w/oRec2 (TR 15)","Pike","Wylie",""
"HB 1160","f#","Litter penalties/park funds","H Gen Govt & Info","","2/4/2015","Pike","","","","DPS7 DNP3 (ENVI 15)","Pike","Moeller",""
"HB 1161","f","Senior citizens, property tx","H Finance","","1/14/2015","Moeller","","","","","Moeller","Bergquist",""
"HB 1162","f","Mineral prospecting","H Ag & Nat Res","","1/14/2015","Tarleton","","","","","Tarleton","Pollet",""
"HB 1163","f","Paid vacation leave","H Labor","","1/14/2015","Tarleton","","","","","Tarleton","Walkinshaw",""
"HB 1164","f","Student nutrition/grant prog","H Rules R","","2/13/2015","Riccelli","","","","DP9 (CB 15)","Riccelli","DeBolt",""
"HB 1165","","Marijuana local jurisd. fund","H Commerce & Gam","","1/14/2015","Condotta","","","","","Condotta","Reykdal",""
"HB 1166","fe","State gen oblig bonds, accts","H subst for","","4/2/2015","Dunshee","","SB 5095(S Ways & Means)","","DPS9 (CB 15)","Dunshee","Gregerson",""
"HB 1167","","Palliative care coverage","H HC/Wellness","","1/14/2015","Harris","","SB 5165(S subst for)","","","Harris","Tharinger",""
"HB 1168","fo","Retiree return-to-work/PERS","C 75 L 15","","4/24/2015","Ormsby","","SB 5211(S Rules X)","45-0-1-3","DP21 DNP1 w/oRec1 (WM 15)","Ormsby","Chandler",""
"HB 1169","fo","Life annuity benefit/WSPRS","H Approps","","1/11/2016","Ormsby","","SB 5210(C 111 L 15)","","DP33 (APP 15)","Ormsby","Sullivan",""
"HB 1170","f#","Port districts admin. powers","H subst for","","3/5/2015","Clibborn","","","","DPS7 DNP2 (LG 15)","Clibborn","Zeiger",""
"HB 1171","f","Real estate brokers","H Bus & Fin Svcs","","1/11/2016","Kirby","","SB 5288(C 175 L 15)","","DPS7 (GGIT 15)","Kirby","Vick",""
"HB 1172","fo","Insurer risk mgmt, solvency","C 17 L 15","","4/17/2015","Stanford","","","48-0-0-1","DP6 (FI 15)","Stanford","Vick",""
"HB 1173","","Physician noncompete agrmnts","H HC/Wellness","","1/14/2015","Carlyle","","","","","Carlyle","Reykdal",""
"HB 1174","f","Flame retardants","H subst for","","3/5/2015","Van De Wege","","SB 5684(S Energy, Enviro)","","DP2S(w/o sub ENVI)26 DNP5 w/oRec2 (APP 15)","Van De Wege","Taylor",""
"HB 1175","f#","Campaign contribution source","H Rules C","","3/13/2015","Van De Wege","","","","DPS(PS)7 (GGIT 15)","Van De Wege","Hunt, S.",""
"HB 1176","","Pawnbroker fees, int. rates","H Bus & Fin Svcs","","1/11/2016","Kirby","","ESB 5616(C 294 L 15)","","DP11 (BFS 15)","Kirby","Vick",""
"HB 1177","","Service contracts regulation","H Rules R","","2/3/2015","Kirby","","","","DP13 (JUDI 15)","Kirby","Jinkins",""
"HB 1178","f#","Assault in third degree","H subst for","","3/6/2015","Moscoso","","","","DPS6 DNP2 w/oRec1 (PS 15)","Moscoso","Appleton",""
"HB 1179","f","Cider makers/wine c. assmnt","C 76 L 15","","4/24/2015","Lytton","","SB 5260(S Rules X)","48-0-0-1","DP7 (CL 15)","Lytton","Buys",""
"HB 1180","f#","High-capacity trans service","H Finance","","2/5/2015","Fey","","SB 5128(S Transportation)","","DPS13 DNP8 w/oRec4 (TR 15)","Fey","Farrell",""
"HB 1181","","Asbestos abating/respirators","H Labor","","1/15/2015","Taylor","","","","","Taylor","Manweller",""
"HB 1182","fd","Geological hazard assessment","H Ag & Nat Res","","1/11/2016","Hurst","","SB 5088(C 12 L 15)","","DP12 (AGNR 15)","Hurst","Scott",""
"HB 1183","f","Radiology benefit managers","H subst for","","3/9/2015","Harris","","","","DPS15 (HCW 15)","Harris","Cody",""
"HB 1184","f","UW health sci lib/LMFT assoc","H subst for","","2/9/2015","Cody","","","","DPS14 (HCW 15)","Cody","Harris",""
"HB 1185","","Funds/out-of-state deposit","H Bus & Fin Svcs","","1/15/2015","Kirby","","","","","Kirby","Vick",""
"HB 1186","f#","Patients, observation status","H subst for","","3/9/2015","Clibborn","","","","DPS12 DNP3 (HCW 15)","Clibborn","Springer",""
"EHB 1187","f#","Water banking best practices","H Rules X","","2/2/2016","Chandler","","ESB 5014(S Rules X)","29-20-0-0","DPA5 (AWRD 15)","Chandler","Blake",""
"HB 1188","","Annual leave payments","H Approps","","2/2/2015","Hunt, S.","","","","DPS7 (SG 15)","Hunt, S.","Johnson",""
"HB 1189","","City, district publ. records","H Rules 3C","","4/24/2015","Hunt, S.","","","95-1-0-2","DPA6 (GOS 15)","Hunt, S.","Holy",""
"HB 1190","f","Optometrists/hydrocodone use","H subst for","","2/9/2015","Harris","","SB 5293(S subst for)","","DPS14 (HCW 15)","Harris","Riccelli",""
"HB 1191","f","Concealed pistol license","H Approps","","2/9/2015","Taylor","","","","DPS13 (JUDI 15)","Taylor","Scott",""
