 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
BUCHHOLZ BENJAMIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BUCHHOLZ & ASSOC LLC*, 42000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42000.00
BUCKLEY BETTY, 12059.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12059.80
BUCKNER STEPHEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BURBANK JOHN, 2723.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2723.70
BURGESS MIKE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BURKE CARL, 73200.00, 122.64, 998.98, 2600.00, 0.00, 0.00, 0.00, 76921.62
BURRIS GARY, 1665.88, 97.90, 0.00, 100.00, 0.00, 0.00, 0.00, 1863.78
BURTON RICHARD, 28.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28.00
BUSZ ANDREW, 3600.00, 135.48, 0.00, 0.00, 0.00, 0.00, 0.00, 3735.48
BYERS LAWRENCE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BYINGTON TERRY, 0.00, 363.52, 0.00, 0.00, 0.00, 0.00, 0.00, 363.52
C F TEC INC*, 56165.26, 3668.00, 0.00, 0.00, 0.00, 0.00, 660.00, 60493.26
CAAN GEORGE, 6000.00, 0.00, 29.00, 0.00, 0.00, 0.00, 0.00, 6029.00
CALDIROLA-DAVIS CARLO, 281.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 281.25
CALDWELL JOY, 280.50, 104.88, 0.00, 0.00, 0.00, 0.00, 0.00, 385.38
CALLICOAT WILLIAM, 2056.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2056.59
CAMPION SHANNON, 0.00, 213.50, 0.00, 0.00, 0.00, 22502.65, 0.00, 22716.15
CAPITOL CONNECTION*, 338999.99, 3769.49, 575.42, 0.00, 0.00, 0.00, 0.00, 343312.90
CAPITOL SOLUTIONS*, 305972.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 305972.02
CAPITOL STRATEGIES CONSULTING*, 280811.73, 0.00, 1257.84, 22400.00, 0.00, 0.00, 0.00, 282069.57
CARLISLE JANA, 360.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 360.58
CARLTON ROBERT, 6317.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6317.50
CARNEY BADLEY SPELLMAN*, 1216025.76, 39583.63, 14838.98, 98950.00, 0.00, 0.00, 0.00, 1369041.49
CARPENTER NANCY, 31500.00, 509.13, 0.00, 0.00, 0.00, 0.00, 0.00, 32009.13
CARSTENSEN ZACHARY, 31188.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 31188.58
CARTER AMBER, 76504.57, 0.00, 716.91, 100.00, 0.00, 0.00, 0.00, 77321.48
CASCADE GOVT AFFAIRS LLC*, 356275.00, 443.77, 1249.47, 18500.00, 0.00, 0.00, 0.00, 373468.24
CASTLE ART, 6000.00, 0.00, 9702.84, 7200.00, 0.00, 0.00, 0.00, 22902.84
CAVE SCOTT, 90.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 90.00
CHAHIM LEDA, 263.58, 192.16, 2733.47, 0.00, 0.00, 0.00, 0.00, 3189.21
CHAISSON-CARDENAS JOHN-PAUL, 17518.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17518.00
CHAMPLAIN SUSAN, 97284.00, 18.31, 2214.57, 0.00, 0.00, 0.00, 20.84, 99537.72
CHANDLER GARY, 89682.01, 0.00, 5884.69, 0.00, 0.00, 0.00, 0.00, 95566.70
CHATTIN BRUCE, 10291.00, 178.64, 395.00, 0.00, 0.00, 0.00, 623.05, 11187.72
CHAVEZ ANTHONY, 36121.63, 4264.35, 918.60, 47500.00, 0.00, 0.00, 0.00, 88804.58
CHECKERBOARD CONSULTING SERVICES LLC*, 91250.00, 0.00, 49.48, 13850.00, 0.00, 0.00, 0.00, 105149.48
CHENEY CHRISTOPHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CHERIN SARAH, 52500.00, 0.00, 0.00, 427820.65, 0.00, 0.00, 0.00, 480320.65
CHIANG ANTONY, 332.91, 830.41, 0.00, 0.00, 0.00, 0.00, 0.00, 1163.32
CHIECHI DOLORES, 18000.00, 0.00, 85.22, 3500.00, 0.00, 0.00, 0.00, 21585.22
CHIECHI MARIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CHIECHI VITO, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CHIECHI & ASSOC*, 56500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 56500.00
CHISA HOLLY, 131000.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 131000.04
CHISA RICHARD, 2484.87, 300.21, 5.78, 800.00, 0.00, 0.00, 0.00, 3590.86
CHRISTENSEN DONNA, 114600.00, 1800.00, 0.00, 0.00, 0.00, 0.00, 0.00, 116400.00
CHRISTOPHERSEN VICKI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CHRISTOPHERSEN INC*, 298717.66, 0.00, 874.59, 0.00, 0.00, 0.00, 0.00, 299592.25
CHURCH KELLY, 23.90, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23.90
CIVIC GROUP*, 639333.00, 6595.90, 3564.61, 100000.00, 0.00, 0.00, 0.00, 749485.51
CLARDY ALEXANDER, 4316.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4316.34
CLARK GINA, 3830.73, 291.49, 0.00, 0.00, 0.00, 0.00, 0.00, 4122.22
CLARK JULIA, 24700.00, 134.43, 0.00, 0.00, 0.00, 0.00, 0.00, 24834.43
CLARK ROBERT, 768.00, 0.00, 0.00, 1300.00, 0.00, 0.00, 15000.00, 17068.00
CLARKE WILLIAM, 121500.00, 3598.00, 1277.00, 0.00, 245.00, 0.00, 0.00, 126581.00
CLIFFORD TRAISMAN & ASSOC*, 114473.36, 0.00, 0.00, 0.00, 0.00, 0.00, 2000.00, 116473.36
CLIFTON A FINCH CONSULTING*, 34000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34000.00
CLOGSTON MARY, 5000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5000.00
COBB MONTY, 663.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 663.53
COLE CRAIG, 12000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12000.00
COLEMAN SABRINA, 2000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2000.00
COLGAN BETH, 526.62, 89.01, 0.00, 0.00, 0.00, 0.00, 0.00, 615.63
COLLINS KATHLEEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COLLINS VAN, 52584.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 52584.00
COMMUNICO*, 694916.00, 13658.83, 3679.45, 33800.00, 0.00, 0.00, 46066.33, 812372.50
CONNIFF JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CONNOR PATRICK, 86287.62, 8103.00, 5186.21, 0.00, 0.00, 0.00, 390.00, 99966.83
COOL SETH, 395.25, 1125.86, 0.00, 0.00, 173.65, 0.00, 0.00, 1694.76
COONTS JAMIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COOPER BRIDGETTE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COOPER KAREN, 1080.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1080.00
COOPER ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COPE HEATHER, 2575.86, 1184.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3759.86
COTE JESSE, 4011.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4011.12
COVEN JESSICA, 413.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 413.00
COX CHRISTOPHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COYNE DANNY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
COYNE JESERNIG LLC*, 888800.00, 0.00, 3404.14, 65800.00, 0.00, 0.00, 0.00, 958004.14
CRAMER KATHARINE, 1346.68, 195.85, 0.00, 0.00, 0.00, 0.00, 0.00, 1542.53
CREWDSON AMY, 684.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 684.52
CROMAN-NEELANDS KELLY, 4657.76, 121.67, 0.00, 0.00, 0.00, 0.00, 0.00, 4779.43
CRONE PAMELA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CULP LUCY, 8210.00, 2987.00, 0.00, 0.00, 5500.00, 1000.00, 0.00, 17697.00
CUMMINGS MARC, 454.01, 152.84, 248.97, 0.00, 0.00, 0.00, 0.00, 855.82
CURRY JAMES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CURRY THOMAS, 37349.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 37349.00
CURTIS MARK, 0.00, 0.00, 45.00, 0.00, 0.00, 0.00, 0.00, 45.00
CUSHMAN JEANNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
D MICHENER & CO INC*, 625875.00, 2176.20, 4611.47, 0.00, 0.00, 0.00, 0.00, 632112.73
DAHLMAN SCOTT, 36000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 36000.00
DAMMANN ADAIR, 20008.83, 2236.22, 575.16, 4000.00, 6277.11, 4886.29, 54497.16, 92480.77
DANIELS JAMIE, 6400.00, 0.00, 5678.00, 0.00, 0.00, 0.00, 0.00, 12078.00
DANIELS JODY, 33856.00, 13868.97, 668.24, 0.00, 0.00, 0.00, 0.00, 48393.21
DANIELS JOE, 211008.00, 0.00, 180.07, 113800.00, 0.00, 0.00, 0.00, 324988.07
DANIELS-BROWN ROMAN, 263638.00, 3714.56, 896.70, 20500.00, 0.00, 0.00, 0.00, 288749.26
DAVIS PATTI, 16000.00, 1515.00, 1163.79, 0.00, 0.00, 0.00, 100.00, 18778.79
DAWSEY CHARLES, 2415.56, 327.05, 0.00, 0.00, 0.00, 0.00, 0.00, 2742.61
DAWSON JAMES, 20448.79, 0.00, 0.00, 36842.18, 1257.23, 400.00, 1340.19, 60288.39
DAWSON SETH, 115712.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 115712.00
DAY BARBARA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DE LA ROSA CASSANDRA, 1806.00, 181.06, 0.00, 0.00, 0.00, 0.00, 0.00, 1987.06
DEMPSEY SANDRA, 55.32, 14.90, 0.00, 0.00, 0.00, 0.00, 0.00, 70.22
DENNING MITCH, 19185.00, 4317.84, 0.00, 0.00, 0.00, 0.00, 0.00, 23502.84
DENNIS LINDA, 84456.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 84456.66
DEVEREUX GREG, 21489.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21489.00
DEWEY WILLIAM, 13130.13, 0.00, 8045.23, 1421.00, 0.00, 0.00, 0.00, 22596.36
DICERBO ADRIENNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DIEDRICK PETER, 2500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2500.00
DIEMERT TRACIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DILLEY SCOTT, 36000.00, 0.00, 175.36, 0.00, 0.00, 0.00, 0.00, 36175.36
DINCES FRANKLIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DINCES LAW FIRM*, 1915.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1915.00
DIXON DANIELLE, 1701.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1701.00
DOCKINS GEORGE, 446.16, 183.53, 23.67, 0.00, 0.00, 0.00, 0.00, 653.36
DODSON LYNNE, 2789.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2789.16
DOLWICK CARRIE, 6081.48, 954.34, 0.00, 0.00, 0.00, 0.00, 0.00, 7035.82
DONALDSON ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DONCKERS BRENDAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DOOLEY THOMAS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DOTY J DYLAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DOTY & ASSOC INC*, 40449.99, 2400.34, 0.00, 2500.00, 0.00, 0.00, 0.00, 45350.33
DOUBLEDAY MICHAEL, 150806.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 150806.75
DOUMIT MARK, 41200.00, 11.00, 5326.03, 0.00, 0.00, 0.00, 0.00, 46537.03
DOUMIT MILTON, 60000.00, 0.00, 1483.78, 9600.00, 0.00, 0.00, 0.00, 71083.78
DOYLE CHRIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DOZONO LESLIE, 1688.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1688.50
DRAKE JENILYN, 1240.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1240.00
DRISCOLL JOHN, 14000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11500.00
DRURY KIM, 1582.00, 128.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1710.00
DUBE CHRISTIAN, 6444.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6444.64
DUBLE-HARBIN JESSICA, 81337.97, 0.00, 11059.58, 3200.00, 0.00, 0.00, 0.00, 95597.55
DUCHARME DAVID, 243000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 243000.00
DUKE SCHAUB ASSOCIATES*, 62000.00, 587.53, 733.21, 0.00, 0.00, 0.00, 0.00, 63384.42
DUMAS KRISTINA, 1689.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1689.20
DUNCAN STEVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DUNCAN & ASSOCIATES*, 230524.00, 0.00, 28.49, 0.00, 0.00, 0.00, 0.00, 230552.49
DUNN PATRICK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DUNN SUSAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DURKAN MARTIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
DZIEDZIC ERIN, 11695.00, 6691.00, 951.00, 0.00, 0.00, 29856.38, 0.00, 49193.38
EAGLE DENNIS, 91145.04, 300.81, 4699.97, 83700.00, 0.00, 500040.00, 6222.76, 686108.31
EAGLE GINGER, 25881.53, 0.00, 536.45, 0.00, 0.00, 0.00, 0.00, 26417.98
EAMES JONATHAN, 23500.00, 626.34, 6.98, 0.00, 0.00, 0.00, 12520.00, 36653.32
EASTMAN MALYNDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ECHOLS TOM, 82000.00, 0.00, 100.18, 1600.00, 0.00, 0.00, 0.00, 83700.18
ECONOMIDES NICHOLAS, 2500.00, 1132.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3632.00
EDDINGER LEN, 16000.00, 365.00, 360.00, 0.00, 0.00, 0.00, 0.00, 16725.00
EHRENREICH JOHN, 13182.00, 0.00, 93.81, 200.00, 0.00, 0.00, 0.00, 13475.81
EICKMEYER EZRA, 46500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 46500.00
ELIASON DENNY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ELLIOTT MIKE, 2700.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2700.00
ELLIOTT SUE, 3600.00, 0.00, 1117.98, 0.00, 0.00, 0.00, 0.00, 4717.98
ELLISON NANCY, 60000.00, 3297.24, 0.00, 0.00, 0.00, 0.00, 286.78, 63584.02
EMERICK LESLIE, 140250.00, 983.14, 0.00, 0.00, 0.00, 0.00, 0.00, 141233.14
ENSLOW BRIAN, 5112.50, 0.00, 447.68, 0.00, 0.00, 0.00, 0.00, 5560.18
ESSER LUKE, 19000.00, 106.59, 0.00, 0.00, 0.00, 0.00, 0.00, 19106.59
